x,y,planta,planta-numero,id,id_vell,DN,OD mm,WT mm,material,area m2,Flow velocity ms,volume flow rate m3s,volume flow rate m3h
1416.0,1175.0,P-400,P-400-02,P-40102,PR401,40,48.3,3.2,acer,0.0015975077183320431,,0.0,0.0
1629.0,1132.0,P-400,P-400-05,P-40205,PR402,40,48.3,3.2,acer,0.0015975077183320431,,0.0,0.0
1234.0,1271.0,P-600,P-600-01,P-60001,P600,50,60.3,3.6,acer,0.002524968701524822,,0.0,0.0
1216.0,1184.0,P-600,P-600-03,P-60103,PI601,50,60.3,3.6,acer,0.002524968701524822,,0.0,0.0
1217.0,1237.0,P-600,P-600-02,P-60102,PR601,50,60.3,3.6,acer,0.002524968701524822,,0.0,0.0
1570.0,380.0,PEC,PEC-05,E-15005,E150,200,220.0,,acer,0.0380132711084365,,0.0,0.0
1600.0,446.0,PEC,PEC-06,ED-15006,ED150,50,60.3,3.6,acer,0.002524968701524822,,0.0,0.0
1553.0,345.0,PEC,PEC-02,EI-10002,EI-100,125,141.0,5.0,acer,0.014526724430199206,1.9,0.02760077641737849,99.36279510256256
1534.0,436.0,PEC,PEC-03,EI-10103,EI101,80,88.9,4.0,acer,0.005661157815750442,3.0,0.016983473447251325,61.14050441010477
1541.0,476.0,PEC,PEC-04,EI-10204,EI102,80,88.9,4.0,acer,0.005661157815750442,0.46,0.0026041325952452033,9.374877342882732
1702.0,463.0,PEC,PEC-07,EI-15007,EI150,50,60.3,3.6,acer,0.002524968701524822,3.0,0.0075749061045744664,27.26966197646808
1490.0,311.0,PEC,PEC-01,E-10001,PEC,200,220.0,,acer,0.0380132711084365,0.9,0.03421194399759285,123.16299839133426
,,PEC,PEC-08,E-10008,,80,88.9,4.0,acer,0.005661157815750442,,0.0,0.0
1754.0,894.7,sil-pel,sil-pel-01,P-20001,P200,100,114.0,4.5,acer,0.009417120328676254,,0.0,0.0
1739.0,957.0,sil-pel,sil-pel-02,P-20102,P201,65,76.1,3.6,acer,0.004128249096357837,,0.0,0.0
1748.0,918.0,sil-pel,sil-pel-03,P-20203,P202,65,76.1,3.6,acer,0.004128249096357837,,0.0,0.0
1887.0,897.0,sil-pel,sil-pel-01,P-30001,P300,65,76.1,3.6,acer,0.004128249096357837,,0.0,0.0
