timestamp,date,hour,point_id,count,min,max,mean,median,mode
260324_0000,260324,0000,573-03,848,16.2465188652277,1270.37969827652,521.7419209244292,493.0883467197415,16.2465188652277
260324_0000,260324,0000,573-07,8808,-6.24654754064977,353.171288967133,15.269772457998142,0.0,0.0
260324_0000,260324,0000,573-07,687,-15.4924308881164,449.515807628632,106.7559222869158,13.3913341909647,0.0
260324_0000,260324,0000,573-07,77,160.298976302147,319.796723127365,266.1359977799576,265.623879432678,160.298976302147
260324_0000,260324,0000,573-07,110,112.671688199043,300.92453956604,225.5593448200009,226.8425703048705,112.671688199043
260324_0000,260324,0000,573-07,1242,-10.4785633273423,334.479108452797,257.25189036853357,259.089294075966,-10.4785633273423
260324_0000,260324,0000,573-08,164,-3.75573132187128,11.1312679946423,2.621841276439462,2.352990908548235,-3.75573132187128
260324_0000,260324,0000,573-08,351,-2.28387583047152,12.4028177931905,3.374905310578796,3.57017442584038,-2.28387583047152
260324_0000,260324,0000,573-05,1732,-0.992796930950135,2.7537745423615,0.026926211532832315,-0.0693610083544627,-0.992796930950135
260324_0000,260324,0000,573-05,1849,-0.438761879922822,1.59909246722236,0.9143786204224033,0.91480101691559,-0.438761879922822
260324_0000,260324,0000,573-04,36,4.92868395522237,19.0270610153675,8.90398712363094,8.768696989864114,4.92868395522237
260324_0000,260324,0000,573-03,9,0.0965275838971138,0.125717580318451,0.10814537439081395,0.107916861772537,0.0965275838971138
260324_0000,260324,0000,573-03,32,0.13344219326973,0.148213446140289,0.1382193691097199,0.13570351898670202,0.13344219326973
260324_0000,260324,0000,573-03,335,269.790396094322,685.100555419922,362.4595923121296,357.102093100548,269.790396094322
260324_0000,260324,0000,573-02,1511,235.487893223763,911.287271976471,505.4008892578924,498.184704780579,235.487893223763
260324_0000,260324,0000,573-03,854,-4.87736575305462,181.926110386848,48.06115061205003,45.71814704686405,0.0
260324_0000,260324,0000,573-03,811,365.290984511375,533.204913139343,467.7749274066579,493.21956038475,365.290984511375
260324_0000,260324,0000,573-04,46,0.0,14.7239428013563,8.12065594971342,10.085930675268202,0.0
260324_0000,260324,0000,573-03,37,237.567436695099,447.156670689583,357.9388995428344,355.493357777596,237.567436695099
260324_0000,260324,0000,573-03,130,-424.217104911804,879.711771011353,549.9457193853764,639.1221553087234,-424.217104911804
260324_0000,260324,0000,573-04,27,-11.3025438040495,-8.91719246283174,-10.61630931993326,-10.8354396186769,-11.3025438040495
260324_0000,260324,0000,573-02,697,144.579045474529,668.513077497482,355.0570111855373,341.850677132607,144.579045474529
260324_0000,260324,0000,573-02,930,123.299606144428,891.802364587784,440.4222992495183,425.139355659485,123.299606144428
260324_0000,260324,0000,573-08,1393,-41.5652643889189,369.80701982975,73.79389449794243,58.5160709917545,0.0
260324_0000,260324,0000,573-10,642,-6.28191665746272,2.37029870040715,-3.6520495993916433,-4.112018994055685,0.0
260324_0000,260324,0000,573-10,9,-2311.98842525482,-1344.57678794861,-1952.49913930893,-2190.26656150818,-2311.98842525482
260324_0000,260324,0000,573-10,47,-12.5431870110333,1.19440527632833,-2.830681459918776,0.0,0.0
260324_0000,260324,0000,573-11,2056,2.90032289922237,106.115450710058,53.33808302829053,53.90940550714735,2.90032289922237
260324_0000,260324,0000,573-04,107,-4.14144094102085,8.48632240667939,3.2554102662263142,3.21968221105635,0.0
260324_0000,260324,0000,573-03,2067,-315.551778674126,1239.09441232681,577.2578568864851,570.853364467621,-315.551778674126
260324_0000,260324,0000,573-03,1066,51.6350951045752,1802.71010398865,691.1404068048827,704.4497966766355,51.6350951045752
260324_0000,260324,0000,573-03,25,168.046577274799,187.123842537403,179.08875167369834,179.196815192699,174.164427816868
260324_0000,260324,0000,573-03,120,606.994414329529,788.008707761765,707.177942097187,706.37041926384,672.390639781952
260324_0000,260324,0000,573-03,1056,46.6686230152845,1196.97074890137,524.3277302625673,510.73105931282055,46.6686230152845
260324_0000,260324,0000,573-01,92,214.912480115891,230.534255504608,223.70824740956658,224.533248692751,215.534229576588
260324_0000,260324,0000,573-01,318,81.8047933280468,237.413129210472,176.98597740030513,177.841132879257,112.511855363846
