Filename,DEVICE,MODE,DATE,TIME,Par.Record,Meas. Point No.,Outer Diameter,Wall Thickness,Roughness,Pipe Material,Lining,Medium,Medium Temperat.,Transducer Type,Sound Path,Transd. Distance,Damping,Full-Scale Val.,Current Loop,Storage Rate,Physic. Quant.,Unit Of Measure,Numb.Of Meas.Val,MEASURE_Avg,MEASURE_Median,MEASURE_Mode,MEASURE_Max,MEASURE_Min,SSPEED_Avg,SSPEED_Median,SSPEED_Mode,SSPEED_Max,SSPEED_Min
260507_0827_4605_22.csv,G 608ST-60802901,STORED,07.05.2026,08:27:23,,: B:4605,22.0 mm,1.0 mm,0.0 mm,Stainless Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,1 NUM,-46.4 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],45,0.0405,0.02,0.01,0.28,-0.11,2125.1333,2346,28,2527,24
260507_0833_4602_88.csv,G 608ST-60802901,STORED,07.05.2026,08:33:08,,: B:4602,88.9 mm,4.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,16.2 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],71,,,,,,,,,,
260507_0842_4605_22.csv,G 608ST-60802901,STORED,07.05.2026,08:42:06,,: B:4605,22.0 mm,1.0 mm,0.0 mm,Stainless Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,1 NUM,-46.4 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],108,-8.2908,-4.34,-11.23,0.51,-44.09,1199.313,1782.9,19,2838.3,13
260507_0851_47.09_323.csv,G 608ST-60802901,STORED,07.05.2026,08:51:00,,: B:47.09,323.0 mm,6.5 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,199.3 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],83,598.8232,595.39,614.99,658.95,563.27,1407.5614,1496.7,1492.8,1514.2,11
260507_0853_47.09_323.csv,G 608ST-60802901,STORED,07.05.2026,08:53:11,,: B:47.09,323.0 mm,6.5 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,199.3 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],152,-580.3169,-576.4,-642.15,-559.48,-642.15,1492.7408,1490,1489.9,1516.3,1487.3
260507_0856_47.09_323.csv,G 608ST-60802901,STORED,07.05.2026,08:56:04,,: B:47.09,323.0 mm,6.5 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,199.3 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],133,610.6868,611.15,615.95,637.4,574.67,1451.1353,1496.1,1494.4,1500.6,19
260507_0858_47.09_323.csv,G 608ST-60802901,STORED,07.05.2026,08:58:34,,: B:47.09,323.0 mm,6.5 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,199.3 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],101,-570.4316,-569.31,-597.84,-551.18,-597.84,1491.1743,1489.1,1487.7,1517,1487.6
260507_0900_47.09_323.csv,G 608ST-60802901,STORED,07.05.2026,09:00:31,,: B:47.09,323.0 mm,6.5 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,199.3 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],93,625.7909,629.94,632.67,643.64,600.88,1464.4215,1492.4,1489.8,1515.1,34
260507_0905_47.10_273.csv,G 608ST-60802901,STORED,07.05.2026,09:05:54,,: B:47.10,273.0 mm,6.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,160.3 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],58,188.0528,188.015,201.66,201.66,182.49,1496.3414,1496.2,1495.2,1506.9,1483.3
260507_0907_47.10_273.csv,G 608ST-60802901,STORED,07.05.2026,09:07:37,,: B:47.10,273.0 mm,6.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,160.3 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],120,-179.8218,-180.58,-181.47,-170.62,-190.72,1522.8075,1524.35,1526.2,1527,1516.4
