"# Flow rate: avg: 652.3010 [m3/h] 
# Median: 652.5200 [m3/h]
# Mode: 652.4800 [m3/h]
# Max: 699.5600 [m3/h]
# Min: 622.3400 [m3/h]"
# MEASURE 
# MEASURE 
# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 07.05.2026
# TIME             : 09:21:09
# Par.Record       :
# Meas. Point No.: : B:47.08
# Outer Diameter  :     323.0 mm
# Wall Thickness  :       5.0 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :     197.9 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        87

TIME;TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
09:21:09;09:21:09;B;699.56;1528.8;43.0;
09:21:10;09:21:10;B;678.56;1514.3;44.0;
09:21:11;09:21:11;B;648.28;1514.3;44.0;
09:21:12;09:21:12;B;628.67;1510.2;44.0;
09:21:13;09:21:13;B;651.46;1510.2;44.0;
09:21:14;09:21:14;B;673.49;1507.4;44.0;
09:21:15;09:21:15;B;678.18;1507.4;44.0;
09:21:16;09:21:16;B;666.16;1509.1;42.0;
09:21:17;09:21:17;B;667.91;1509.1;42.0;
09:21:18;09:21:18;B;659.09;1503.7;39.0;
09:21:19;09:21:19;B;656.33;1501.4;44.0;
09:21:20;09:21:20;B;628.97;1501.4;44.0;
09:21:21;09:21:21;B;622.34;1499.0;45.0;
09:21:22;09:21:22;B;646.2;1501.1;44.0;
09:21:23;09:21:23;B;665.7;1500.1;45.0;
09:21:24;09:21:24;B;667.87;1500.1;45.0;
09:21:25;09:21:25;B;646.52;1500.2;44.0;
09:21:26;09:21:26;B;649.06;1501.2;43.0;
09:21:27;09:21:27;B;644.67;1501.2;43.0;
09:21:28;09:21:28;B;632.17;1503.1;44.0;
09:21:29;09:21:29;B;638.08;1503.4;42.0;
09:21:30;09:21:30;B;640.82;1504.5;43.0;
09:21:31;09:21:31;B;639.68;1505.9;43.0;
09:21:32;09:21:32;B;641.82;1505.9;43.0;
09:21:33;09:21:33;B;638.37;1504.9;43.0;
09:21:34;09:21:34;B;637.64;1505.7;42.0;
09:21:35;09:21:35;B;635.17;1505.7;42.0;
09:21:36;09:21:36;B;632.76;1505.0;42.0;
09:21:37;09:21:37;B;632.51;1502.7;43.0;
09:21:38;09:21:38;B;630.78;1502.7;43.0;
09:21:39;09:21:39;B;630.26;1503.1;42.0;
09:21:40;09:21:40;B;629.22;1505.2;44.0;
09:21:41;09:21:41;B;631.39;1505.2;44.0;
09:21:42;09:21:42;B;642.96;1506.2;40.0;
09:21:43;09:21:43;B;647.08;1508.8;41.0;
09:21:44;09:21:44;B;648.81;1508.8;41.0;
09:21:45;09:21:45;B;652.48;1508.7;40.0;
09:21:46;09:21:46;B;652.48;1508.7;40.0;
09:21:47;09:21:47;B;650.03;1507.4;40.0;
09:21:48;09:21:48;B;648.07;1504.6;44.0;
09:21:49;09:21:49;B;647.99;1504.6;44.0;
09:21:50;09:21:50;B;647.73;1504.3;44.0;
09:21:51;09:21:51;B;646.73;1504.6;43.0;
09:21:52;09:21:52;B;644.52;1503.8;44.0;
09:21:53;09:21:53;B;642.9;1503.8;44.0;
09:21:54;09:21:54;B;639.85;1503.0;42.0;
09:21:55;09:21:55;B;638.79;1503.4;44.0;
09:21:56;09:21:56;B;642.39;1503.4;44.0;
