"# Flow rate: avg: 625.7909 [m3/h] 
# Median: 629.9400 [m3/h]
# Mode: 632.6700 [m3/h]
# Max: 643.6400 [m3/h]
# Min: 600.8800 [m3/h]"
# MEASURE 
# MEASURE 
# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 07.05.2026
# TIME             : 09:00:31
# Par.Record       :
# Meas. Point No.: : B:47.09
# Outer Diameter  :     323.0 mm
# Wall Thickness  :       6.5 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :     199.3 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        93

TIME;TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
09:00:31;09:00:31;B;632.67;1497.6;41.0;
09:00:32;09:00:32;B;632.67;1497.6;41.0;
09:00:33;09:00:33;B;632.16;1497.2;44.0;
09:00:34;09:00:34;B;632.34;1499.4;45.0;
09:00:35;09:00:35;B;630.35;1499.4;45.0;
09:00:36;09:00:36;B;618.72;1499.1;44.0;
09:00:37;09:00:37;B;615.61;1500.3;45.0;
09:00:38;09:00:38;B;607.24;1500.3;45.0;
09:00:39;09:00:39;B;612.88;1500.2;46.0;
09:00:40;09:00:40;B;620.46;1499.9;46.0;
09:00:41;09:00:41;B;607.8;1499.9;46.0;
09:00:42;09:00:42;B;615.66;1503.1;45.0;
09:00:43;09:00:43;B;615.66;1503.1;45.0;
09:00:44;09:00:44;B;616.97;1503.8;44.0;
09:00:45;09:00:45;B;626.64;1501.9;44.0;
09:00:46;09:00:46;B;631.98;1500.2;45.0;
09:00:47;09:00:47;B;638.35;1500.2;45.0;
09:00:48;09:00:48;B;637.68;1498.3;45.0;
09:00:49;09:00:49;B;638.15;1498.3;45.0;
09:00:50;09:00:50;B;639.23;1496.5;45.0;
09:00:51;09:00:51;B;643.64;1494.6;45.0;
09:00:52;09:00:52;B;642.13;1492.7;44.0;
09:00:53;09:00:53;B;638.22;1492.7;44.0;
09:00:54;09:00:54;B;635.64;1490.5;45.0;
09:00:55;09:00:55;B;636.83;1490.4;44.0;
09:00:56;09:00:56;B;636.29;1490.4;44.0;
09:00:57;09:00:57;B;637.33;1490.3;45.0;
09:00:58;09:00:58;B;638.04;1490.1;45.0;
09:00:59;09:00:59;B;637.96;1490.1;45.0;
09:01:00;09:01:00;B;638.15;1490.0;45.0;
09:01:01;09:01:01;B;639.23;1490.0;45.0;
09:01:02;09:01:02;B;640.62;1489.8;45.0;
09:01:03;09:01:03;B;639.93;1489.7;45.0;
09:01:04;09:01:04;B;641.07;1489.8;45.0;
