Date,A Mass flow rate [kg/h]
12/2/2025 10:21:14 AM,140991.394042969
12/2/2025 10:21:15 AM,143425.373840332
12/2/2025 10:21:16 AM,144073.031616211
12/2/2025 10:21:17 AM,143547.994995117
12/2/2025 10:21:18 AM,143561.247253418
12/2/2025 10:21:19 AM,143152.77557373
12/2/2025 10:21:20 AM,141562.353515625
12/2/2025 10:21:21 AM,142264.750671387
12/2/2025 10:21:22 AM,141658.868408203
12/2/2025 10:21:23 AM,143220.286560059
12/2/2025 10:21:24 AM,143142.846679688
12/2/2025 10:21:25 AM,143147.570800781
12/2/2025 10:21:26 AM,147711.991882324
12/2/2025 10:21:27 AM,146464.288330078
12/2/2025 10:21:28 AM,145104.592895508
12/2/2025 10:21:29 AM,143113.746643066
12/2/2025 10:21:30 AM,142404.949951172
12/2/2025 10:21:31 AM,141516.773986816
12/2/2025 10:21:32 AM,143870.78704834
12/2/2025 10:21:33 AM,144144.346618652
12/2/2025 10:21:34 AM,143293.771362305
12/2/2025 10:21:35 AM,
12/2/2025 10:21:36 AM,
12/2/2025 10:21:37 AM,
12/2/2025 10:21:38 AM,
12/2/2025 10:21:39 AM,
12/2/2025 10:21:40 AM,
12/2/2025 10:21:41 AM,
12/2/2025 10:21:42 AM,
12/2/2025 10:21:43 AM,
12/2/2025 10:21:44 AM,
12/2/2025 10:21:45 AM,
12/2/2025 10:21:46 AM,
12/2/2025 10:21:47 AM,
12/2/2025 10:21:48 AM,
12/2/2025 10:21:49 AM,
12/2/2025 10:21:50 AM,
12/2/2025 10:21:51 AM,
12/2/2025 10:21:52 AM,
12/2/2025 10:21:53 AM,143617.153930664
12/2/2025 10:21:54 AM,143082.421875
12/2/2025 10:21:55 AM,142935.699462891
12/2/2025 10:21:56 AM,141984.489440918
12/2/2025 10:21:57 AM,
12/2/2025 10:21:58 AM,141265.75012207
12/2/2025 10:21:59 AM,141459.562683105
12/2/2025 10:22:00 AM,141114.097595215
12/2/2025 10:22:01 AM,140756.918334961
12/2/2025 10:22:02 AM,140196.794128418
12/2/2025 10:22:03 AM,139166.702270508
12/2/2025 10:22:04 AM,138571.545410156
12/2/2025 10:22:05 AM,140021.452331543
12/2/2025 10:22:06 AM,139112.855529785
12/2/2025 10:22:07 AM,138308.21685791
12/2/2025 10:22:08 AM,138319.161987305
12/2/2025 10:22:09 AM,138342.178344727
12/2/2025 10:22:10 AM,138810.05859375
12/2/2025 10:22:11 AM,139163.310241699
12/2/2025 10:22:12 AM,139163.310241699
12/2/2025 10:22:13 AM,
12/2/2025 10:22:14 AM,139144.02923584
12/2/2025 10:22:15 AM,135552.420043945
12/2/2025 10:22:16 AM,132798.051452637
12/2/2025 10:22:17 AM,131677.377319336
12/2/2025 10:22:18 AM,130126.327514648
12/2/2025 10:22:19 AM,126541.584777832
12/2/2025 10:22:20 AM,125682.769775391
12/2/2025 10:22:21 AM,127625.605773926
12/2/2025 10:22:22 AM,126581.204223633
12/2/2025 10:22:23 AM,126742.071533203
12/2/2025 10:22:24 AM,126465.83404541
12/2/2025 10:22:25 AM,127462.966918945
12/2/2025 10:22:26 AM,128593.309020996
12/2/2025 10:22:27 AM,129969.895935059
12/2/2025 10:22:28 AM,131791.058349609
12/2/2025 10:22:29 AM,131574.984741211
12/2/2025 10:22:30 AM,
12/2/2025 10:22:31 AM,
12/2/2025 10:22:32 AM,
12/2/2025 10:22:33 AM,
12/2/2025 10:22:34 AM,
12/2/2025 10:22:35 AM,
12/2/2025 10:22:36 AM,
12/2/2025 10:22:37 AM,
12/2/2025 10:22:38 AM,
12/2/2025 10:22:39 AM,
12/2/2025 10:22:40 AM,
12/2/2025 10:22:41 AM,130624.667358398
12/2/2025 10:22:42 AM,
12/2/2025 10:22:43 AM,130618.418884277
12/2/2025 10:22:44 AM,132000.787353516
12/2/2025 10:22:45 AM,133340.199279785
12/2/2025 10:22:46 AM,134640.55480957
12/2/2025 10:22:47 AM,135900.961303711
12/2/2025 10:22:48 AM,136869.763183594
12/2/2025 10:22:49 AM,137164.389038086
12/2/2025 10:22:50 AM,138030.647277832
12/2/2025 10:22:51 AM,138286.23046875
12/2/2025 10:22:52 AM,138507.618713379
12/2/2025 10:22:53 AM,138878.846740723
12/2/2025 10:22:54 AM,139381.677246094
12/2/2025 10:22:55 AM,140311.587524414
12/2/2025 10:22:56 AM,140110.057067871
12/2/2025 10:22:57 AM,139739.776611328
12/2/2025 10:22:58 AM,139783.213806152
12/2/2025 10:22:59 AM,140290.068054199
12/2/2025 10:23:00 AM,140445.318603516
12/2/2025 10:23:01 AM,141746.044921875
12/2/2025 10:23:02 AM,141688.984680176
12/2/2025 10:23:03 AM,141655.531311035
12/2/2025 10:23:04 AM,141610.913085938
12/2/2025 10:23:05 AM,141717.864990234
12/2/2025 10:23:06 AM,141155.529785156
12/2/2025 10:23:07 AM,141279.249572754
