Date,A Mass flow rate [kg/s]
10/28/2025 11:08:53 AM,0.143145889043808
10/28/2025 11:09:03 AM,0.144115760922432
10/28/2025 11:09:13 AM,0.144847050309181
10/28/2025 11:09:23 AM,0.146278619766235
10/28/2025 11:09:33 AM,0.148213446140289
10/28/2025 11:09:43 AM,0.146254479885101
10/28/2025 11:09:53 AM,0.145169824361801
10/28/2025 11:10:03 AM,0.146243676543236
10/28/2025 11:10:13 AM,0.144306764006615
10/28/2025 11:10:23 AM,0.139284566044807
10/28/2025 11:10:33 AM,0.136587411165237
10/28/2025 11:10:43 AM,0.135824859142303
10/28/2025 11:10:53 AM,0.13525179028511
10/28/2025 11:11:03 AM,0.134957998991013
10/28/2025 11:11:13 AM,0.134658962488174
10/28/2025 11:11:23 AM,0.136273682117462
10/28/2025 11:11:33 AM,0.135016590356827
10/28/2025 11:11:43 AM,0.134989112615585
10/28/2025 11:11:53 AM,0.135338082909584
10/28/2025 11:12:03 AM,0.135537177324295
10/28/2025 11:12:13 AM,0.135019868612289
10/28/2025 11:12:23 AM,0.135112792253494
10/28/2025 11:12:33 AM,0.135653242468834
10/28/2025 11:12:43 AM,0.135610207915306
10/28/2025 11:12:53 AM,0.134317919611931
10/28/2025 11:13:03 AM,0.136342912912369
10/28/2025 11:13:13 AM,0.135079115629196
10/28/2025 11:13:23 AM,0.13575379550457
10/28/2025 11:13:33 AM,0.1345284730196
10/28/2025 11:13:43 AM,0.133548840880394
10/28/2025 11:13:53 AM,0.13344219326973
10/28/2025 11:14:03 AM,0.136314705014229
