Date,A Mass flow rate [kg/s]
10/15/2025 10:05:54 AM,43.3340492248535
10/15/2025 10:06:04 AM,41.1853561401367
10/15/2025 10:06:14 AM,40.8865013122559
10/15/2025 10:06:24 AM,41.274845123291
10/15/2025 10:06:34 AM,42.3263206481934
10/15/2025 10:06:44 AM,41.5326118469238
10/15/2025 10:06:54 AM,40.9862442016602
10/15/2025 10:07:04 AM,42.285228729248
10/15/2025 10:07:14 AM,43.2936592102051
10/15/2025 10:07:24 AM,42.1683883666992
10/15/2025 10:07:34 AM,42.0895729064941
10/15/2025 10:07:44 AM,42.8277168273926
10/15/2025 10:07:54 AM,41.7780456542969
10/15/2025 10:08:04 AM,40.8105049133301
10/15/2025 10:08:14 AM,41.0093574523926
10/15/2025 10:08:24 AM,40.501537322998
10/15/2025 10:08:34 AM,38.8425025939941
10/15/2025 10:08:44 AM,39.4402008056641
10/15/2025 10:08:54 AM,38.953540802002
10/15/2025 10:09:04 AM,37.028263092041
10/15/2025 10:09:14 AM,36.9531517028809
10/15/2025 10:09:24 AM,38.2820587158203
10/15/2025 10:09:34 AM,37.7940330505371
10/15/2025 10:09:44 AM,37.2819023132324
10/15/2025 10:09:54 AM,38.279125213623
10/15/2025 10:10:04 AM,38.4057960510254
10/15/2025 10:10:14 AM,
10/15/2025 10:10:24 AM,
