t_stamp,TT101
01/12/2025,61.70000076
01/12/2025,61.70000076
01/12/2025,61.70000076
01/12/2025,61.59999847
01/12/2025,61.59999847
01/12/2025,61.70000076
01/12/2025,61.79999924
01/12/2025,61.59999847
01/12/2025,61.59999847
01/12/2025,61.5
01/12/2025,61.59999847
01/12/2025,61.70000076
01/12/2025,61.70000076
01/12/2025,61.59999847
01/12/2025,61.59999847
01/12/2025,61.59999847
01/12/2025,61.59999847
01/12/2025,61.70000076
01/12/2025,61.59999847
01/12/2025,61.5
01/12/2025,61.5
01/12/2025,61.5
01/12/2025,61.59999847
01/12/2025,61.59999847
01/12/2025,61.59999847
01/12/2025,61.59999847
01/12/2025,61.40000153
01/12/2025,61.59999847
01/12/2025,61.59999847
01/12/2025,61.5
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.5
01/12/2025,61.5
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.5
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.29999924
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.29999924
01/12/2025,61.40000153
01/12/2025,61.29999924
01/12/2025,61.20000076
01/12/2025,61.40000153
01/12/2025,61.20000076
01/12/2025,61.29999924
01/12/2025,61.29999924
01/12/2025,61.20000076
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.29999924
01/12/2025,61.29999924
01/12/2025,61.29999924
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.29999924
01/12/2025,61.20000076
01/12/2025,61.20000076
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.29999924
01/12/2025,61.20000076
01/12/2025,61.29999924
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.29999924
01/12/2025,61.20000076
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.29999924
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.29999924
01/12/2025,61.29999924
01/12/2025,61.20000076
01/12/2025,61.20000076
01/12/2025,61.29999924
01/12/2025,61.29999924
01/12/2025,61.29999924
01/12/2025,61.29999924
01/12/2025,61.29999924
01/12/2025,61.40000153
01/12/2025,61.29999924
01/12/2025,61.29999924
01/12/2025,61.29999924
01/12/2025,61.29999924
01/12/2025,61.20000076
01/12/2025,61.29999924
01/12/2025,61.29999924
01/12/2025,61.29999924
01/12/2025,61.20000076
01/12/2025,61.20000076
01/12/2025,61.20000076
01/12/2025,61.20000076
01/12/2025,61.20000076
01/12/2025,61.20000076
01/12/2025,61.20000076
01/12/2025,61.09999847
01/12/2025,61.09999847
01/12/2025,61.20000076
01/12/2025,61.09999847
01/12/2025,61.09999847
01/12/2025,61
01/12/2025,61
01/12/2025,61
01/12/2025,61
01/12/2025,60.90000153
01/12/2025,60.90000153
01/12/2025,60.90000153
01/12/2025,60.90000153
01/12/2025,60.90000153
01/12/2025,60.79999924
01/12/2025,60.79999924
01/12/2025,60.70000076
01/12/2025,60.79999924
01/12/2025,60.70000076
01/12/2025,60.70000076
01/12/2025,60.59999847
01/12/2025,60.59999847
01/12/2025,60.5
01/12/2025,60.5
01/12/2025,60.5
01/12/2025,60.5
01/12/2025,60.5
01/12/2025,60.5
01/12/2025,60.5
01/12/2025,60.5
01/12/2025,60.5
01/12/2025,60.5
01/12/2025,60.5
01/12/2025,60.5
01/12/2025,60.5
01/12/2025,60.5
01/12/2025,60.59999847
01/12/2025,60.59999847
01/12/2025,60.59999847
01/12/2025,60.79999924
01/12/2025,60.70000076
01/12/2025,60.79999924
01/12/2025,60.90000153
01/12/2025,61
01/12/2025,61
01/12/2025,61
01/12/2025,60.90000153
01/12/2025,60.79999924
01/12/2025,60.90000153
01/12/2025,60.90000153
01/12/2025,60.79999924
01/12/2025,60.90000153
01/12/2025,60.90000153
01/12/2025,60.90000153
01/12/2025,61
01/12/2025,61
01/12/2025,61.09999847
01/12/2025,61.20000076
01/12/2025,61
01/12/2025,61
01/12/2025,61.09999847
01/12/2025,61.09999847
01/12/2025,61.09999847
01/12/2025,61
01/12/2025,60.90000153
01/12/2025,61
01/12/2025,61.09999847
01/12/2025,61.20000076
01/12/2025,61.20000076
01/12/2025,61.09999847
01/12/2025,61
01/12/2025,61.09999847
01/12/2025,61.20000076
01/12/2025,61.20000076
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61
01/12/2025,61.09999847
01/12/2025,61.09999847
01/12/2025,61.09999847
01/12/2025,61.20000076
01/12/2025,61.09999847
01/12/2025,61.09999847
01/12/2025,61.20000076
01/12/2025,61.29999924
01/12/2025,61.40000153
01/12/2025,61.40000153
01/12/2025,61.29999924
01/12/2025,60.90000153
01/12/2025,60.29999924
01/12/2025,59.70000076
01/12/2025,58.20000076
01/12/2025,55.90000153
01/12/2025,54
01/12/2025,52.59999847
01/12/2025,51.5
01/12/2025,50.59999847
01/12/2025,49.79999924
01/12/2025,49.20000076
01/12/2025,48.5
01/12/2025,47.90000153
01/12/2025,47.40000153
01/12/2025,46.79999924
01/12/2025,46.29999924
01/12/2025,45.79999924
01/12/2025,45.5
01/12/2025,45.09999847
01/12/2025,44.70000076
01/12/2025,44.29999924
01/12/2025,43.90000153
01/12/2025,43.59999847
01/12/2025,43.09999847
01/12/2025,42.90000153
01/12/2025,42.5
01/12/2025,42.29999924
01/12/2025,41.90000153
01/12/2025,41.59999847
01/12/2025,41.29999924
01/12/2025,41
01/12/2025,40.79999924
01/12/2025,40.5
01/12/2025,40.29999924
01/12/2025,40.09999847
01/12/2025,39.70000076
01/12/2025,39.5
01/12/2025,39.20000076
01/12/2025,39.09999847
01/12/2025,38.79999924
01/12/2025,38.59999847
01/12/2025,38.40000153
01/12/2025,38.20000076
01/12/2025,38.09999847
01/12/2025,38
01/12/2025,37.79999924
01/12/2025,37.59999847
01/12/2025,37.40000153
01/12/2025,37.29999924
01/12/2025,37.09999847
01/12/2025,36.90000153
01/12/2025,36.79999924
01/12/2025,36.59999847
01/12/2025,36.5
01/12/2025,36.29999924
01/12/2025,36.20000076
01/12/2025,36
01/12/2025,35.90000153
01/12/2025,35.70000076
01/12/2025,35.59999847
01/12/2025,35.40000153
01/12/2025,35.20000076
01/12/2025,35
01/12/2025,34.79999924
01/12/2025,34.79999924
01/12/2025,34.5
01/12/2025,34.29999924
01/12/2025,34.09999847
01/12/2025,34
01/12/2025,33.90000153
01/12/2025,33.70000076
01/12/2025,33.5
01/12/2025,36
01/12/2025,47.29999924
01/12/2025,50.5
01/12/2025,50.79999924
01/12/2025,50.40000153
01/12/2025,49.59999847
01/12/2025,48.70000076
01/12/2025,47.90000153
01/12/2025,47
01/12/2025,46.20000076
01/12/2025,45.5
01/12/2025,44.59999847
01/12/2025,43.90000153
01/12/2025,43.09999847
01/12/2025,42.5
01/12/2025,42
01/12/2025,41.40000153
