TIME,MEASURE
11:25:53,???
11:25:54,???
11:25:55,???
11:25:56,???
11:25:57,???
11:25:58,0.17
11:25:59,0.17
11:26:00,0.17
11:26:01,-0.39
11:26:02,-1.07
11:26:03,-1.15
11:26:04,-1.15
11:26:05,-1.05
11:26:06,-1.31
11:26:07,-1.51
11:26:08,-0.7
11:26:09,-0.44
11:26:10,???
11:26:11,???
11:26:12,???
11:26:13,-0.34
11:26:14,-0.18
11:26:15,0.28
11:26:16,0.85
11:26:17,0.37
11:26:18,0.06
11:26:19,-0.35
11:26:20,-0.48
11:26:21,-0.48
11:26:22,???
11:26:23,???
11:26:24,???
11:26:25,???
11:26:26,???
11:26:27,???
11:26:28,???
11:26:29,???
11:26:30,???
11:26:31,???
11:26:32,???
11:26:33,???
11:26:34,???
11:26:35,???
11:26:36,???
11:26:37,???
11:26:38,???
11:26:39,???
11:26:40,???
11:26:41,???
11:26:42,???
11:26:43,???
11:26:44,???
11:26:45,???
11:26:46,???
11:26:47,???
11:26:48,???
11:26:49,???
11:26:50,???
11:26:51,???
11:26:52,???
11:26:53,???
11:26:54,???
11:26:55,???
11:26:56,???
11:26:57,???
11:26:58,???
11:26:59,???
11:27:00,???
11:27:01,???
11:27:02,???
11:27:03,???
11:27:04,???
11:27:05,???
11:27:06,???
11:27:07,???
