Date,A Mass flow rate [kg/s]
10/15/2025 10:33:18 AM,50.0829315185547
10/15/2025 10:33:28 AM,50.568775177002
10/15/2025 10:33:38 AM,50.661190032959
10/15/2025 10:33:48 AM,50.7912712097168
10/15/2025 10:33:58 AM,50.6035919189453
10/15/2025 10:34:08 AM,50.8615417480469
10/15/2025 10:34:18 AM,50.8317909240723
10/15/2025 10:34:28 AM,50.6793746948242
10/15/2025 10:34:38 AM,50.7889251708984
10/15/2025 10:34:48 AM,50.4287261962891
10/15/2025 10:34:58 AM,50.6019744873047
10/15/2025 10:35:08 AM,50.6562194824219
10/15/2025 10:35:18 AM,50.7075691223145
10/15/2025 10:35:28 AM,50.5377655029297
10/15/2025 10:35:38 AM,50.5762748718262
10/15/2025 10:35:48 AM,50.4982948303223
