TIME,MEASURE
08:47:02,???
08:47:03,???
08:47:04,???
08:47:05,???
08:47:06,???
08:47:07,???
08:47:08,???
08:47:09,???
08:47:10,???
08:47:11,???
08:47:12,???
08:47:13,???
08:47:14,???
08:47:15,???
08:47:16,???
08:47:17,???
08:47:18,???
08:47:19,???
08:47:20,???
08:47:21,???
08:47:22,???
08:47:23,???
08:47:24,???
08:47:25,???
08:47:26,???
08:47:27,???
08:47:28,???
08:47:29,???
08:47:30,???
08:47:31,???
08:47:32,???
08:47:33,???
08:47:34,???
08:47:35,???
08:47:36,???
08:47:37,-129.32
08:47:38,-129.07
08:47:39,???
08:47:40,???
08:47:41,???
08:47:42,???
08:47:43,???
08:47:44,???
08:47:45,???
08:47:46,???
08:47:47,???
08:47:48,???
08:47:49,???
08:47:50,???
08:47:51,???
08:47:52,???
08:47:53,???
08:47:54,???
08:47:55,???
08:47:56,???
08:47:57,???
08:47:58,???
08:47:59,???
08:48:00,???
08:48:01,???
08:48:02,???
08:48:03,???
08:48:04,???
08:48:05,???
08:48:06,???
08:48:07,???
08:48:08,???
08:48:09,???
08:48:10,36.94
08:48:11,131.01
08:48:12,131.01
08:48:13,130.13
08:48:14,129.45
08:48:15,130.91
08:48:16,131.34
08:48:17,130.72
08:48:18,130.32
08:48:19,131.59
08:48:20,131.76
08:48:21,???
08:48:22,???
08:48:23,???
08:48:24,???
08:48:25,???
08:48:26,???
08:48:27,???
08:48:28,???
08:48:29,126.16
08:48:30,126.03
08:48:31,???
08:48:32,???
08:48:33,???
08:48:34,???
08:48:35,???
08:48:36,???
