TIME,MEASURE
09:07:42,776.45
09:07:43,776.45
09:07:44,770.25
09:07:45,764.45
09:07:46,785.74
09:07:47,779.06
09:07:48,779.06
09:07:49,762.85
09:07:50,768.54
09:07:51,798.04
09:07:52,775.36
09:07:53,771.05
09:07:54,763.42
09:07:55,768.69
09:07:56,788.46
09:07:57,779.06
09:07:58,761.31
09:07:59,776.65
09:08:00,776.65
09:08:01,777.78
09:08:02,785.71
09:08:03,793.51
09:08:04,791.95
09:08:05,783.64
09:08:06,789.93
09:08:07,790.55
09:08:08,787.98
09:08:09,787.87
09:08:10,785.34
09:08:11,780.36
09:08:12,776.85
09:08:13,775.95
09:08:14,769.86
09:08:15,769.92
09:08:16,768.24
09:08:17,764.92
09:08:18,760.18
09:08:19,757.45
09:08:20,756.65
09:08:21,757.98
09:08:22,760.06
09:08:23,761.86
09:08:24,768.67
09:08:25,769.77
09:08:26,770.03
09:08:27,770.35
09:08:28,770.07
09:08:29,770.35
09:08:30,???
09:08:31,???
09:08:32,770.9
09:08:33,769.61
09:08:34,768.92
09:08:35,767.69
