Date,A Mass flow rate [kg/s]
10/15/2025 9:16:55 AM,53.3238754272461
10/15/2025 9:17:05 AM,57.0148544311523
10/15/2025 9:17:15 AM,57.8896102905273
10/15/2025 9:17:25 AM,57.6557998657227
10/15/2025 9:17:35 AM,57.7325782775879
10/15/2025 9:17:45 AM,57.747013092041
10/15/2025 9:17:55 AM,57.4791831970215
10/15/2025 9:18:05 AM,57.6520118713379
10/15/2025 9:18:15 AM,57.6699066162109
10/15/2025 9:18:25 AM,57.8842277526855
10/15/2025 9:18:35 AM,57.5601539611816
10/15/2025 9:18:45 AM,57.8185844421387
10/15/2025 9:18:55 AM,57.7991828918457
10/15/2025 9:19:05 AM,57.7872314453125
10/15/2025 9:19:15 AM,57.1798973083496
10/15/2025 9:19:25 AM,57.6441040039062
10/15/2025 9:19:35 AM,57.7212829589844
10/15/2025 9:19:45 AM,57.699520111084
10/15/2025 9:19:55 AM,57.670223236084
10/15/2025 9:20:05 AM,57.643196105957
10/15/2025 9:20:15 AM,57.8793869018555
10/15/2025 9:20:25 AM,57.3951568603516
10/15/2025 9:20:35 AM,57.444408416748
10/15/2025 9:20:45 AM,57.6750831604004
10/15/2025 9:20:55 AM,
