Date,A Mass flow rate [kg/h]
12/9/2025 10:35:00 AM,94240.0772094727
12/9/2025 10:35:01 AM,94240.0772094727
12/9/2025 10:35:02 AM,94521.9863891602
12/9/2025 10:35:03 AM,96287.1253967285
12/9/2025 10:35:04 AM,98223.5343933105
12/9/2025 10:35:05 AM,98223.5343933105
12/9/2025 10:35:06 AM,98223.5343933105
12/9/2025 10:35:07 AM,99176.0147094727
12/9/2025 10:35:08 AM,99365.7485961914
12/9/2025 10:35:09 AM,99207.7926635742
12/9/2025 10:35:10 AM,99207.7926635742
12/9/2025 10:35:11 AM,99207.7926635742
12/9/2025 10:35:12 AM,100354.449462891
12/9/2025 10:35:13 AM,100735.846710205
12/9/2025 10:35:14 AM,100788.11416626
12/9/2025 10:35:15 AM,100788.11416626
12/9/2025 10:35:16 AM,101261.45324707
12/9/2025 10:35:17 AM,101869.999694824
12/9/2025 10:35:18 AM,102320.013427734
12/9/2025 10:35:19 AM,102933.785247803
12/9/2025 10:35:20 AM,102933.785247803
12/9/2025 10:35:21 AM,103392.176055908
12/9/2025 10:35:22 AM,103392.711639404
12/9/2025 10:35:23 AM,
12/9/2025 10:35:24 AM,
12/9/2025 10:35:25 AM,
12/9/2025 10:35:26 AM,
12/9/2025 10:35:27 AM,
12/9/2025 10:35:28 AM,
12/9/2025 10:35:29 AM,
12/9/2025 10:35:30 AM,
12/9/2025 10:35:31 AM,
12/9/2025 10:35:32 AM,
12/9/2025 10:35:33 AM,
12/9/2025 10:35:34 AM,
12/9/2025 10:35:35 AM,
12/9/2025 10:35:36 AM,
12/9/2025 10:35:37 AM,
12/9/2025 10:35:38 AM,103878.753662109
12/9/2025 10:35:39 AM,104178.9894104
12/9/2025 10:35:40 AM,
12/9/2025 10:35:41 AM,
12/9/2025 10:35:42 AM,104152.56729126
12/9/2025 10:35:43 AM,104720.443725586
12/9/2025 10:35:44 AM,
12/9/2025 10:35:45 AM,
12/9/2025 10:35:46 AM,
12/9/2025 10:35:47 AM,
12/9/2025 10:35:48 AM,105920.452880859
12/9/2025 10:35:49 AM,104914.366149902
12/9/2025 10:35:50 AM,
12/9/2025 10:35:51 AM,
12/9/2025 10:35:52 AM,
12/9/2025 10:35:53 AM,103884.535217285
12/9/2025 10:35:54 AM,103862.747955322
12/9/2025 10:35:55 AM,103439.485931396
12/9/2025 10:35:56 AM,103439.485931396
12/9/2025 10:35:57 AM,103228.150177002
12/9/2025 10:35:58 AM,103740.044403076
12/9/2025 10:35:59 AM,103982.986450195
12/9/2025 10:36:00 AM,104146.593475342
12/9/2025 10:36:01 AM,104488.474273682
12/9/2025 10:36:02 AM,104821.950531006
12/9/2025 10:36:03 AM,105438.922119141
12/9/2025 10:36:04 AM,105384.951782227
12/9/2025 10:36:05 AM,104259.862518311
12/9/2025 10:36:06 AM,103730.527496338
12/9/2025 10:36:07 AM,103730.527496338
12/9/2025 10:36:08 AM,101799.742126465
12/9/2025 10:36:09 AM,101876.598358154
12/9/2025 10:36:10 AM,102006.401824951
12/9/2025 10:36:11 AM,102946.556854248
12/9/2025 10:36:12 AM,103507.765960693
12/9/2025 10:36:13 AM,103791.515350342
12/9/2025 10:36:14 AM,105516.094207764
