Date,A Mass flow rate [kg/h]
12/9/2025 1:35:46 PM,147664.599609375
12/9/2025 1:35:47 PM,148576.821899414
12/9/2025 1:35:48 PM,147970.00579834
12/9/2025 1:35:49 PM,147970.00579834
12/9/2025 1:35:50 PM,147733.483886719
12/9/2025 1:35:51 PM,147604.229736328
12/9/2025 1:35:52 PM,147986.334228516
12/9/2025 1:35:53 PM,147932.26776123
12/9/2025 1:35:54 PM,145996.998596191
12/9/2025 1:35:55 PM,145431.298828125
12/9/2025 1:35:56 PM,147309.494018555
12/9/2025 1:35:57 PM,148811.270141602
12/9/2025 1:35:58 PM,147892.291259766
12/9/2025 1:35:59 PM,147640.869140625
12/9/2025 1:36:00 PM,144909.407043457
12/9/2025 1:36:01 PM,147253.834533691
12/9/2025 1:36:02 PM,147284.706115723
12/9/2025 1:36:03 PM,148597.242736816
12/9/2025 1:36:04 PM,149014.517211914
12/9/2025 1:36:05 PM,148996.801757812
12/9/2025 1:36:06 PM,148745.654296875
12/9/2025 1:36:07 PM,148727.993774414
12/9/2025 1:36:08 PM,149229.354858398
12/9/2025 1:36:09 PM,149327.97088623
12/9/2025 1:36:10 PM,149320.555114746
12/9/2025 1:36:11 PM,149080.737304688
12/9/2025 1:36:12 PM,148767.585754395
12/9/2025 1:36:13 PM,148368.260192871
12/9/2025 1:36:14 PM,147979.454040527
12/9/2025 1:36:15 PM,147774.311828613
12/9/2025 1:36:16 PM,147500.779724121
12/9/2025 1:36:17 PM,147102.140808105
12/9/2025 1:36:18 PM,146799.096679688
12/9/2025 1:36:19 PM,146694.067382812
12/9/2025 1:36:20 PM,146786.09161377
12/9/2025 1:36:21 PM,146903.713989258
12/9/2025 1:36:22 PM,146872.183227539
12/9/2025 1:36:23 PM,146806.745910645
12/9/2025 1:36:24 PM,147007.713317871
12/9/2025 1:36:25 PM,147264.573669434
12/9/2025 1:36:26 PM,147441.83807373
12/9/2025 1:36:27 PM,147754.811096191
12/9/2025 1:36:28 PM,148091.926574707
12/9/2025 1:36:29 PM,148271.786499023
12/9/2025 1:36:30 PM,148554.835510254
12/9/2025 1:36:31 PM,148757.423400879
12/9/2025 1:36:32 PM,148899.586486816
12/9/2025 1:36:33 PM,149019.735717773
12/9/2025 1:36:34 PM,149062.705993652
12/9/2025 1:36:35 PM,148922.039794922
12/9/2025 1:36:36 PM,148874.345397949
12/9/2025 1:36:37 PM,149097.257995605
12/9/2025 1:36:38 PM,149236.056518555
12/9/2025 1:36:39 PM,149226.333618164
12/9/2025 1:36:40 PM,149034.498596191
12/9/2025 1:36:41 PM,149034.498596191
12/9/2025 1:36:42 PM,148717.735290527
12/9/2025 1:36:43 PM,148494.850158691
12/9/2025 1:36:44 PM,148410.433959961
