TIME,MEASURE
09:25:26,84.43
09:25:27,84.43
09:25:28,83.41
09:25:29,83.41
09:25:30,80.53
09:25:31,80.74
09:25:32,76.18
09:25:33,76.24
09:25:34,76.47
09:25:35,73.64
09:25:36,80.21
09:25:37,71.84
09:25:38,73.4
09:25:39,76.31
09:25:40,77.15
09:25:41,86.99
09:25:42,74.26
09:25:43,78.33
09:25:44,78.33
09:25:45,75.3
09:25:46,74.42
09:25:47,75.3
09:25:48,74.03
09:25:49,76.12
09:25:50,76.87
09:25:51,75.87
09:25:52,76.06
09:25:53,75.6
09:25:54,75.29
09:25:55,75.78
09:25:56,76.86
09:25:57,77.24
09:25:58,???
09:25:59,???
