TIME,MEASURE
10:46:53,19.82
10:46:54,19.98
10:46:55,20.32
10:46:56,20.15
10:46:57,20.11
10:46:58,20.11
10:46:59,20.11
10:47:00,20.33
10:47:01,20.82
10:47:02,20.88
10:47:03,20.56
10:47:04,20.74
10:47:05,20.73
10:47:06,20.5
10:47:07,19.36
10:47:08,19.82
10:47:09,19.29
10:47:10,18.76
10:47:11,18.49
10:47:12,18.47
10:47:13,18.81
10:47:14,18.86
10:47:15,18.96
10:47:16,19.13
10:47:17,19.2
10:47:18,19.31
10:47:19,19.37
10:47:20,19.45
10:47:21,19.47
10:47:22,19.37
10:47:23,19.16
10:47:24,19.06
10:47:25,18.97
10:47:26,18.86
10:47:27,18.69
10:47:28,18.6
10:47:29,18.53
10:47:30,18.5
10:47:31,18.49
10:47:32,18.5
10:47:33,18.5
10:47:34,18.41
10:47:35,18.36
10:47:36,18.27
10:47:37,18.22
10:47:38,18.09
10:47:39,17.97
10:47:40,18.24
10:47:41,18.38
10:47:42,18.41
10:47:43,18.55
10:47:44,18.56
10:47:45,18.59
10:47:46,18.53
10:47:47,18.51
10:47:48,18.44
10:47:49,18.23
10:47:50,18.18
10:47:51,18.13
10:47:52,18.13
10:47:53,18.11
10:47:54,18.06
10:47:55,18.05
10:47:56,18.09
10:47:57,18.15
10:47:58,18.11
10:47:59,18.12
10:48:00,18.3
10:48:01,18.59
10:48:02,18.74
