TIME,MEASURE
11:48:21,8.88
11:48:22,8.88
11:48:23,8.88
11:48:24,8.71
11:48:25,8.78
11:48:26,8.89
11:48:27,9.04
11:48:28,8.66
11:48:29,8.98
11:48:30,9.36
11:48:31,9.68
11:48:32,10.04
11:48:33,9.86
11:48:34,???
11:48:35,???
11:48:36,???
11:48:37,???
11:48:38,8.25
11:48:39,8.22
11:48:40,8.58
11:48:41,8.87
11:48:42,8.97
11:48:43,???
11:48:44,9.01
11:48:45,???
11:48:46,9.39
11:48:47,9.42
11:48:48,9.42
11:48:49,8.84
11:48:50,8.75
11:48:51,???
11:48:52,???
11:48:53,???
11:48:54,???
11:48:55,???
11:48:56,???
11:48:57,???
11:48:58,???
11:48:59,???
11:49:00,???
11:49:01,???
11:49:02,???
11:49:03,???
11:49:04,???
11:49:05,???
11:49:06,???
11:49:07,???
11:49:08,???
11:49:09,???
11:49:10,8.75
11:49:11,8.75
11:49:12,8.75
11:49:13,6.86
11:49:14,3.27
11:49:15,-3.76
11:49:16,-4.78
11:49:17,-5.96
11:49:18,-8.28
11:49:19,-8.51
11:49:20,-8.51
11:49:21,???
11:49:22,???
11:49:23,-9.67
11:49:24,???
11:49:25,???
11:49:26,???
11:49:27,???
