Date,A Mass flow rate [kg/h]
12/2/2025 10:33:25 AM,46922.518157959
12/2/2025 10:33:26 AM,45139.3615722656
12/2/2025 10:33:27 AM,43231.7470550537
12/2/2025 10:33:28 AM,43231.7470550537
12/2/2025 10:33:29 AM,
12/2/2025 10:33:30 AM,43844.8184967041
12/2/2025 10:33:31 AM,43056.1134338379
12/2/2025 10:33:32 AM,46918.2540893555
12/2/2025 10:33:33 AM,45365.580368042
12/2/2025 10:33:34 AM,47925.1064300537
12/2/2025 10:33:35 AM,46552.9277801514
12/2/2025 10:33:36 AM,44995.6192016602
12/2/2025 10:33:37 AM,42149.006652832
12/2/2025 10:33:38 AM,40174.8321533203
12/2/2025 10:33:39 AM,42415.1058197021
12/2/2025 10:33:40 AM,40665.1931762695
12/2/2025 10:33:41 AM,41126.1795043945
12/2/2025 10:33:42 AM,41554.6600341797
12/2/2025 10:33:43 AM,44619.6636199951
12/2/2025 10:33:44 AM,47111.3662719727
12/2/2025 10:33:45 AM,46279.6497344971
12/2/2025 10:33:46 AM,46476.3633728027
12/2/2025 10:33:47 AM,46057.1834564209
12/2/2025 10:33:48 AM,46035.3584289551
12/2/2025 10:33:49 AM,
12/2/2025 10:33:50 AM,47600.9582519531
12/2/2025 10:33:51 AM,47334.4264984131
12/2/2025 10:33:52 AM,
12/2/2025 10:33:53 AM,46725.29296875
12/2/2025 10:33:54 AM,46576.7269134521
12/2/2025 10:33:55 AM,46261.5325927734
12/2/2025 10:33:56 AM,47922.6791381836
12/2/2025 10:33:57 AM,49116.662979126
12/2/2025 10:33:58 AM,
12/2/2025 10:33:59 AM,
12/2/2025 10:34:00 AM,
12/2/2025 10:34:01 AM,49613.3033752441
12/2/2025 10:34:02 AM,49613.3033752441
12/2/2025 10:34:03 AM,49146.5595245361
12/2/2025 10:34:04 AM,48708.0093383789
12/2/2025 10:34:05 AM,48422.6806640625
12/2/2025 10:34:06 AM,
12/2/2025 10:34:07 AM,
12/2/2025 10:34:08 AM,
12/2/2025 10:34:09 AM,
12/2/2025 10:34:10 AM,48747.8862762451
12/2/2025 10:34:11 AM,48890.0321960449
12/2/2025 10:34:12 AM,48452.2476196289
12/2/2025 10:34:13 AM,48074.4380950928
12/2/2025 10:34:14 AM,47851.7040252686
12/2/2025 10:34:15 AM,47668.8709259033
12/2/2025 10:34:16 AM,47526.4503479004
12/2/2025 10:34:17 AM,47596.0899353027
12/2/2025 10:34:18 AM,47339.2192840576
12/2/2025 10:34:19 AM,47083.0627441406
12/2/2025 10:34:20 AM,46632.396697998
12/2/2025 10:34:21 AM,46932.0007324219
12/2/2025 10:34:22 AM,46919.0780639648
12/2/2025 10:34:23 AM,46751.2104034424
12/2/2025 10:34:24 AM,46472.9541778564
12/2/2025 10:34:25 AM,46294.0006256104
12/2/2025 10:34:26 AM,46272.6837158203
12/2/2025 10:34:27 AM,46043.5810089111
12/2/2025 10:34:28 AM,45887.4206542969
12/2/2025 10:34:29 AM,45689.278793335
12/2/2025 10:34:30 AM,45712.3432159424
12/2/2025 10:34:31 AM,45479.2819976807
12/2/2025 10:34:32 AM,45351.4560699463
12/2/2025 10:34:33 AM,45424.1237640381
12/2/2025 10:34:34 AM,45561.9575500488
12/2/2025 10:34:35 AM,45753.4870147705
12/2/2025 10:34:36 AM,45822.9000091553
12/2/2025 10:34:37 AM,45926.6212463379
12/2/2025 10:34:38 AM,
12/2/2025 10:34:39 AM,
12/2/2025 10:34:40 AM,
12/2/2025 10:34:41 AM,
12/2/2025 10:34:42 AM,
12/2/2025 10:34:43 AM,45264.0426635742
12/2/2025 10:34:44 AM,44940.1931762695
12/2/2025 10:34:45 AM,44627.1995544434
12/2/2025 10:34:46 AM,44203.6354064941
12/2/2025 10:34:47 AM,44093.1438446045
12/2/2025 10:34:48 AM,43915.6700134277
12/2/2025 10:34:49 AM,43554.5013427734
12/2/2025 10:34:50 AM,44342.5437927246
12/2/2025 10:34:51 AM,
12/2/2025 10:34:52 AM,
12/2/2025 10:34:53 AM,
12/2/2025 10:34:54 AM,
12/2/2025 10:34:55 AM,
12/2/2025 10:34:56 AM,
12/2/2025 10:34:57 AM,
12/2/2025 10:34:58 AM,
12/2/2025 10:34:59 AM,
12/2/2025 10:35:00 AM,
12/2/2025 10:35:01 AM,
12/2/2025 10:35:02 AM,
12/2/2025 10:35:03 AM,
12/2/2025 10:35:04 AM,
12/2/2025 10:35:05 AM,
12/2/2025 10:35:06 AM,
12/2/2025 10:35:07 AM,
12/2/2025 10:35:08 AM,
12/2/2025 10:35:09 AM,
12/2/2025 10:35:10 AM,
12/2/2025 10:35:11 AM,
12/2/2025 10:35:12 AM,
12/2/2025 10:35:13 AM,
12/2/2025 10:35:14 AM,44068.7370300293
12/2/2025 10:35:15 AM,41275.3395080566
12/2/2025 10:35:16 AM,40392.1966552734
12/2/2025 10:35:17 AM,39261.9163513184
12/2/2025 10:35:18 AM,37937.4114990234
12/2/2025 10:35:19 AM,34627.5844573975
12/2/2025 10:35:20 AM,32910.9020233154
12/2/2025 10:35:21 AM,29599.275970459
12/2/2025 10:35:22 AM,28340.4195785522
12/2/2025 10:35:23 AM,26079.6392440796
12/2/2025 10:35:24 AM,25024.0642547607
12/2/2025 10:35:25 AM,26177.8656005859
12/2/2025 10:35:26 AM,30003.6037445068
12/2/2025 10:35:27 AM,31287.0162963867
12/2/2025 10:35:28 AM,30235.7894897461
12/2/2025 10:35:29 AM,32187.133026123
12/2/2025 10:35:30 AM,33924.8748779297
12/2/2025 10:35:31 AM,
12/2/2025 10:35:32 AM,
12/2/2025 10:35:33 AM,
12/2/2025 10:35:34 AM,
