datetime,cabal_m3h
2025-12-01 14:29:00,-132.304531860352
2025-12-01 14:29:01,-132.646508789062
2025-12-01 14:29:02,-132.02928314208998
2025-12-01 14:29:03,-132.02928314208998
2025-12-01 14:29:04,-132.058644104004
2025-12-01 14:29:05,-131.640641784668
2025-12-01 14:29:06,-131.390826416016
2025-12-01 14:29:07,-130.505589294434
2025-12-01 14:29:08,-131.395948791504
2025-12-01 14:29:09,-133.114485168457
2025-12-01 14:29:10,-133.03285675048798
2025-12-01 14:29:11,-133.454498291016
2025-12-01 14:29:12,-133.318336486816
2025-12-01 14:29:13,-132.710614013672
2025-12-01 14:29:14,-132.649653625488
2025-12-01 14:29:15,-131.71668090820302
2025-12-01 14:29:16,-132.100172424316
2025-12-01 14:29:17,-132.848382568359
2025-12-01 14:29:18,-132.608139038086
2025-12-01 14:29:19,-132.586303710938
2025-12-01 14:29:20,-132.791967773438
2025-12-01 14:29:21,-132.618109130859
2025-12-01 14:29:22,-132.33900146484402
2025-12-01 14:29:23,-131.36183624267602
2025-12-01 14:29:24,-130.58247985839802
2025-12-01 14:29:25,-130.534167480469
2025-12-01 14:29:26,-130.842842102051
2025-12-01 14:29:27,-130.951922607422
2025-12-01 14:29:28,-130.944424438477
2025-12-01 14:29:29,-131.312892150879
2025-12-01 14:29:30,-131.511909484863
2025-12-01 14:29:31,-131.80009460449202
2025-12-01 14:29:32,
2025-12-01 14:29:33,
2025-12-01 14:29:34,
2025-12-01 14:29:35,-132.29747314453098
2025-12-01 14:29:36,-132.655133056641
