timestamp,flow_m3h
2026-05-07 08:08:12,8.94
2026-05-07 08:08:13,8.94
2026-05-07 08:08:14,8.58
2026-05-07 08:08:15,8.52
2026-05-07 08:08:16,8.69
2026-05-07 08:08:17,8.57
2026-05-07 08:08:18,8.39
2026-05-07 08:08:19,9.1
2026-05-07 08:08:20,9.27
2026-05-07 08:08:21,9.48
2026-05-07 08:08:22,9.33
2026-05-07 08:08:23,9.2
2026-05-07 08:08:24,9.22
2026-05-07 08:08:25,9.23
2026-05-07 08:08:26,9.09
2026-05-07 08:08:27,9.18
2026-05-07 08:08:28,9.15
2026-05-07 08:08:29,9.14
2026-05-07 08:08:30,9.07
2026-05-07 08:08:31,9.25
2026-05-07 08:08:32,9.26
2026-05-07 08:08:33,9.39
2026-05-07 08:08:34,9.39
2026-05-07 08:08:35,9.39
