datetime,cabal_m3h
2025-12-09 12:35:04,-100.171060180664
2025-12-09 12:35:05,-99.9200843811035
2025-12-09 12:35:06,-98.8003509521484
2025-12-09 12:35:07,-100.323893737793
2025-12-09 12:35:08,-101.165309143066
2025-12-09 12:35:09,-99.0947776794434
2025-12-09 12:35:10,-97.3055786132812
2025-12-09 12:35:11,-96.743669128418
2025-12-09 12:35:12,-95.52020416259772
2025-12-09 12:35:13,-95.9921905517578
2025-12-09 12:35:14,-96.671248626709
2025-12-09 12:35:15,-97.93217697143552
2025-12-09 12:35:16,-98.838631439209
2025-12-09 12:35:17,-98.322713470459
2025-12-09 12:35:18,-98.4388320922852
2025-12-09 12:35:19,-97.9223442077637
2025-12-09 12:35:20,-96.81775131225592
2025-12-09 12:35:21,-95.9565055847168
2025-12-09 12:35:22,-95.8941925048828
2025-12-09 12:35:23,-97.0168853759766
2025-12-09 12:35:24,-97.0168853759766
2025-12-09 12:35:25,-97.0841491699219
2025-12-09 12:35:26,-95.1055183410645
2025-12-09 12:35:27,-93.41814880371088
2025-12-09 12:35:28,-92.6693481445312
2025-12-09 12:35:29,-91.964527130127
2025-12-09 12:35:30,-93.6975036621094
2025-12-09 12:35:31,-94.2580535888672
2025-12-09 12:35:32,-94.3780242919922
2025-12-09 12:35:33,-94.0574913024902
2025-12-09 12:35:34,-93.0067726135254
2025-12-09 12:35:35,-92.6287124633789
2025-12-09 12:35:36,-92.2882255554199
2025-12-09 12:35:37,-92.2438201904297
2025-12-09 12:35:38,-92.8070205688477
2025-12-09 12:35:39,-92.790966796875
2025-12-09 12:35:40,-92.6373023986816
2025-12-09 12:35:41,-92.3447982788086
2025-12-09 12:35:42,-92.4711547851562
2025-12-09 12:35:43,-92.82371292114262
2025-12-09 12:35:44,-92.6964294433594
2025-12-09 12:35:45,-92.533275604248
2025-12-09 12:35:46,-92.3779769897461
2025-12-09 12:35:47,-93.0501205444336
