datetime,cabal_m3h
2025-11-04 10:36:20,
2025-11-04 10:36:30,
2025-11-04 10:36:40,
2025-11-04 10:36:50,0.56418029665947
2025-11-04 10:37:00,0.58245187997818
2025-11-04 10:37:10,
2025-11-04 10:37:20,0.707091826200485
2025-11-04 10:37:30,0.788012194633484
2025-11-04 10:37:40,0.7819387078285219
2025-11-04 10:37:50,0.818689584732056
2025-11-04 10:38:00,0.794917380809784
2025-11-04 10:38:10,0.687534874677658
2025-11-04 10:38:20,0.6454722046852109
2025-11-04 10:38:30,0.576277166604996
2025-11-04 10:38:40,0.63585079908371
2025-11-04 10:38:50,0.618773281574249
2025-11-04 10:39:00,0.5193255007267
2025-11-04 10:39:10,0.577083438634872
2025-11-04 10:39:20,0.555584406852722
2025-11-04 10:39:30,0.564270794391632
2025-11-04 10:39:40,0.56467741727829
2025-11-04 10:39:50,0.457943040132523
2025-11-04 10:40:00,0.498473578691483
2025-11-04 10:40:10,0.5745572268962861
2025-11-04 10:40:20,0.57648857831955
2025-11-04 10:40:30,0.584258508682251
2025-11-04 10:40:40,
2025-11-04 10:40:50,0.659873306751251
2025-11-04 10:41:00,0.7217299818992611
2025-11-04 10:41:10,0.699296092987061
2025-11-04 10:41:20,0.589656829833984
2025-11-04 10:41:30,0.5437260389327999
2025-11-04 10:41:40,0.522392874956131
2025-11-04 10:41:50,0.523603409528732
2025-11-04 10:42:00,0.588040852546692
2025-11-04 10:42:10,0.598027950525284
2025-11-04 10:42:20,0.567902719974518
2025-11-04 10:42:30,0.5910705685615539
2025-11-04 10:42:40,0.5949582695961
2025-11-04 10:42:50,0.471823740005493
2025-11-04 10:43:00,0.353171557188034
2025-11-04 10:43:10,0.289492213726044
2025-11-04 10:43:20,0.3764815092086789
2025-11-04 10:43:30,0.392036524415016
2025-11-04 10:43:40,0.527910071611404
2025-11-04 10:43:50,0.7155300557613371
2025-11-04 10:44:00,0.702207845449448
2025-11-04 10:44:10,0.58817925453186
2025-11-04 10:44:20,0.5181059002876279
2025-11-04 10:44:30,0.443932145833969
2025-11-04 10:44:40,0.404485058784485
2025-11-04 10:44:50,0.454385626316071
2025-11-04 10:45:00,0.445258632302284
2025-11-04 10:45:10,0.522121542692184
2025-11-04 10:45:20,0.567512512207031
2025-11-04 10:45:30,0.47841864824295
2025-11-04 10:45:40,0.410828939080238
2025-11-04 10:45:50,0.424614500999451
2025-11-04 10:46:00,0.4524725675582889
2025-11-04 10:46:10,0.454860162734985
2025-11-04 10:46:20,0.461487740278244
2025-11-04 10:46:30,0.488325601816177
2025-11-04 10:46:40,
2025-11-04 10:46:50,0.684211778640747
2025-11-04 10:47:00,0.620302945375443
2025-11-04 10:47:10,0.6666572570800781
2025-11-04 10:47:20,0.63521683216095
2025-11-04 10:47:30,0.655460429191589
2025-11-04 10:47:40,0.519791668653488
2025-11-04 10:47:50,0.473910820484161
2025-11-04 10:48:00,0.468909251689911
2025-11-04 10:48:10,0.480105382204056
2025-11-04 10:48:20,0.477322214841843
2025-11-04 10:48:30,0.461923867464066
2025-11-04 10:48:40,0.463957303762436
2025-11-04 10:48:50,0.449480482935905
2025-11-04 10:49:00,0.49630833864212
2025-11-04 10:49:10,0.510434675216675
2025-11-04 10:49:20,0.505224913358688
2025-11-04 10:49:30,0.548194599151611
2025-11-04 10:49:40,0.49878825545311
2025-11-04 10:49:50,0.5182806730270391
2025-11-04 10:50:00,0.6251868724823001
2025-11-04 10:50:10,0.7588993370532989
2025-11-04 10:50:20,0.720136696100235
2025-11-04 10:50:30,0.688341683149338
2025-11-04 10:50:40,0.652617716789246
2025-11-04 10:50:50,0.657177633047104
2025-11-04 10:51:00,0.594959503412247
2025-11-04 10:51:10,0.484992098808289
2025-11-04 10:51:20,0.451103031635284
2025-11-04 10:51:30,0.467792916297913
2025-11-04 10:51:40,0.42009374499321
2025-11-04 10:51:50,0.474696600437164
2025-11-04 10:52:00,0.42670903801918
2025-11-04 10:52:10,0.414937573671341
2025-11-04 10:52:20,0.437874135375023
2025-11-04 10:52:30,0.475578618049622
2025-11-04 10:52:40,0.579633039236069
2025-11-04 10:52:50,0.651794922351837
2025-11-04 10:53:00,0.528430742025375
2025-11-04 10:53:10,0.496090543270111
