timestamp,flow_m3h
2026-05-07 10:44:58,-22.49
2026-05-07 10:44:59,-22.49
2026-05-07 10:45:00,-22.49
2026-05-07 10:45:01,-18.33
2026-05-07 10:45:02,-18.33
2026-05-07 10:45:03,-17.83
2026-05-07 10:45:05,-16.21
2026-05-07 10:45:06,-16.41
2026-05-07 10:45:07,-16.6
2026-05-07 10:45:08,-17.67
2026-05-07 10:45:09,-17.2
2026-05-07 10:45:10,-17.62
2026-05-07 10:45:11,-17.9
2026-05-07 10:45:12,-16.85
2026-05-07 10:45:13,-17.27
2026-05-07 10:45:14,-14.9
2026-05-07 10:45:15,-19.33
2026-05-07 10:45:17,-21.34
2026-05-07 10:45:18,-20.61
2026-05-07 10:45:19,-17.67
2026-05-07 10:45:20,-17.67
2026-05-07 10:45:21,-20.1
2026-05-07 10:45:22,-19.23
2026-05-07 10:45:23,-18.21
2026-05-07 10:45:24,-19.67
2026-05-07 10:45:25,-20.55
2026-05-07 10:45:26,-20.55
2026-05-07 10:45:27,-20.43
2026-05-07 10:45:29,-20.51
2026-05-07 10:45:30,-20.36
2026-05-07 10:45:53,-19.6
2026-05-07 10:46:17,-19.42
2026-05-07 10:46:18,-19.42
2026-05-07 10:46:19,-19.32
2026-05-07 10:46:21,-19.36
2026-05-07 10:46:23,-19.46
2026-05-07 10:46:24,-19.46
2026-05-07 10:46:25,-20.0
2026-05-07 10:46:26,-18.45
2026-05-07 10:46:27,-17.7
2026-05-07 10:46:28,-17.68
2026-05-07 10:46:29,-17.57
2026-05-07 10:46:30,-17.19
2026-05-07 10:46:31,-17.33
2026-05-07 10:46:32,-17.31
2026-05-07 10:46:33,-17.2
2026-05-07 10:46:34,-16.29
2026-05-07 10:46:35,-16.29
2026-05-07 10:46:36,-15.5
