timestamp,flow_m3h
2026-05-04 12:09:09,-65.78
2026-05-04 12:09:10,-66.49
2026-05-04 12:09:20,53.89
2026-05-04 12:09:21,56.34
2026-05-04 12:09:22,62.1
2026-05-04 12:09:23,61.21
2026-05-04 12:09:24,60.88
2026-05-04 12:09:25,60.73
2026-05-04 12:09:26,59.92
2026-05-04 12:09:27,58.16
2026-05-04 12:09:28,58.16
2026-05-04 12:09:29,61.54
2026-05-04 12:09:30,64.98
2026-05-04 12:09:31,64.98
2026-05-04 12:09:32,64.95
2026-05-04 12:09:33,64.72
2026-05-04 12:09:34,64.21
2026-05-04 12:09:35,64.19
2026-05-04 12:09:36,64.54
2026-05-04 12:09:37,64.6
2026-05-04 12:09:38,64.27
2026-05-04 12:09:39,64.18
2026-05-04 12:09:40,64.04
2026-05-04 12:09:41,64.15
2026-05-04 12:09:42,64.18
2026-05-04 12:09:43,64.11
2026-05-04 12:09:44,64.12
2026-05-04 12:09:45,64.15
2026-05-04 12:09:46,64.15
2026-05-04 12:09:47,64.26
2026-05-04 12:09:48,64.17
2026-05-04 12:09:49,64.25
2026-05-04 12:09:50,64.19
2026-05-04 12:09:51,64.22
2026-05-04 12:09:52,63.98
