datetime,cabal_m3h
2025-12-01 14:34:48,193.256378173828
2025-12-01 14:34:49,193.256378173828
2025-12-01 14:34:50,198.334684753418
2025-12-01 14:34:51,199.520356750488
2025-12-01 14:34:52,200.163249206543
2025-12-01 14:34:53,199.959837341309
2025-12-01 14:34:54,201.45421142578095
2025-12-01 14:34:55,202.883203125
2025-12-01 14:34:56,203.558656311035
2025-12-01 14:34:57,204.884925842285
2025-12-01 14:34:58,206.225518798828
2025-12-01 14:34:59,206.053596496582
2025-12-01 14:35:00,205.80702209472705
2025-12-01 14:35:01,206.215026855469
2025-12-01 14:35:02,204.27294616699203
2025-12-01 14:35:03,203.599841308594
2025-12-01 14:35:04,204.332176208496
2025-12-01 14:35:05,205.528861999512
2025-12-01 14:35:06,205.577449035645
2025-12-01 14:35:07,206.219696044922
2025-12-01 14:35:08,206.13522491455103
2025-12-01 14:35:09,206.974649047852
2025-12-01 14:35:10,207.321034240723
2025-12-01 14:35:11,207.066577148438
2025-12-01 14:35:12,206.691174316406
2025-12-01 14:35:13,206.661140441895
2025-12-01 14:35:14,206.532023620605
2025-12-01 14:35:15,206.144165039062
2025-12-01 14:35:16,206.00951385498
2025-12-01 14:35:17,206.022477722168
2025-12-01 14:35:18,205.821263122559
2025-12-01 14:35:19,205.680857849121
2025-12-01 14:35:20,205.737423706055
2025-12-01 14:35:21,205.701113891602
2025-12-01 14:35:22,205.493678283691
2025-12-01 14:35:23,
2025-12-01 14:35:24,
