Filename,POINTNAME,Type,DATE,TIME,DEVICE,MODE,Par.Record,Meas. Point No.,Outer Diameter,Wall Thickness,Roughness,Pipe Material,Lining,Medium,Medium Temperat.,Transducer Type,Sound Path,Transd. Distance,Damping,Full-Scale Val.,Current Loop,Storage Rate,Physic. Quant.,Unit Of Measure,Numb.Of Meas.Val
260518_0912_05.06_Type8.csv,5.06,Type8,18.05.2026,09:12:11,G 608ST-60802901,STORED,Par.Record    04,: B:05.06,323.0 mm,5.5 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,198.4 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],114
260518_0921_06.22_Type8.csv,6.22,Type8,18.05.2026,09:21:20,G 608ST-60802901,STORED,Par.Record    04,: B:06.22,114.0 mm,4.5 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,36.1 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],43
260518_0925_06.07_Type8.csv,6.07,Type8,18.05.2026,09:25:36,G 608ST-60802901,STORED,Par.Record    04,: B:06.07,323.0 mm,5.5 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,198.4 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],44
260518_0926_06.07_Type8.csv,6.07,Type8,18.05.2026,09:26:40,G 608ST-60802901,STORED,Par.Record    04,: B:06.07,323.0 mm,5.5 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,198.4 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],71
260518_1005_3100.01_Type8.csv,3100.01,Type8,18.05.2026,10:05:20,G 608ST-60802901,STORED,Par.Record    04,: B:3100.01,220.0 mm,5.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,118.4 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],83
260518_1007_3100.01_Type8.csv,3100.01,Type8,18.05.2026,10:07:34,G 608ST-60802901,STORED,Par.Record    04,: B:3100.01,220.0 mm,5.0 mm,0.1 mm,Carbon Steel,WITHOUT LINING,Water,20.0 C,CDM1N5213047,2 NUM,118.4 mm,10 s,m3/h,mA,00:00:01 SAMPLES,Volume flow,[m3/h]/[m3],140
