Filename,POINTNAME,Type,DATE,TIME,Average,Median,Mode,Maximum,Minimum,DEVICE,MODE,Par.Record,Meas. Point No.,Outer Diameter,Wall Thickness,Roughness,Pipe Material,Lining,Medium,Medium Temperat.,Transducer Type,Sound Path,Transd. Distance,Damping,Full-Scale Val.,Current Loop,Physic. Quant.,Numb.Of Meas.Val,c-Material,Kinem.Viscosity,Density,Storage Rate
251127_1316_8108_Type6.csv,8108,Type6,251127,1316,268.9148,268.887,272.4672,273.326,264.0399,,,,,,,,,,,,,,,,,,,,,,,
251127_1329_573-03_Type6.csv,573-03,Type6,251127,1329,179.0888,179.1968,181.984,187.1238,168.0466,,,,,,,,,,,,,,,,,,,,,,,
251127_1330_573-03_Type4.csv,573-03,Type4,251127,1330,0.7072,0.7064,0.7631,0.788,0.607,,,,,,,,,,,,,,,,,,,,,,,
251201_0000_3906_Type4.csv,3906,Type4,251201,0,137.6298,137.2852,138.3889,140.3984,136.0959,,,,,,,,,,,,,,,,,,,,,,,
251201_0000_573-03_Type4.csv,573-03,Type4,251201,0,0.5243,0.5107,0.4137,1.197,0.0467,,,,,,,,,,,,,,,,,,,,,,,
251201_0229_3906_Type4.csv,3906,Type4,251201,229,-132.0202,-132.0794,-132.0293,-130.5056,-133.4545,,,,,,,,,,,,,,,,,,,,,,,
251201_0230_3906_Type4.csv,3906,Type4,251201,230,139.0182,137.6919,141.1548,157.0198,134.0154,,,,,,,,,,,,,,,,,,,,,,,
251201_0233_3900.03_Type4.csv,3900.03,Type4,251201,233,206.7063,207.5949,211.2499,211.2499,201.499,,,,,,,,,,,,,,,,,,,,,,,
251201_0234_3900.03_Type4.csv,3900.03,Type4,251201,234,204.1456,205.7011,193.2564,207.321,193.2564,,,,,,,,,,,,,,,,,,,,,,,
251201_1200_31006_Type4.csv,31006,Type4,251201,1200,44.8019,44.6911,47.0343,47.4406,41.9202,,,,,,,,,,,,,,,,,,,,,,,
251201_1416_31006_Type4.csv,31006,Type4,251201,1416,44.8019,44.6911,47.0343,47.4406,41.9202,,,,,,,,,,,,,,,,,,,,,,,
251201_1418_3906_Type4.csv,3906,Type4,251201,1418,137.6298,137.2852,138.3889,140.3984,136.0959,,,,,,,,,,,,,,,,,,,,,,,
251201_1429_3906_Type4.csv,3906,Type4,251201,1429,-132.0202,-132.0794,-132.0293,-130.5056,-133.4545,,,,,,,,,,,,,,,,,,,,,,,
251201_1430_3906_Type4.csv,3906,Type4,251201,1430,139.0182,137.6919,141.1548,157.0198,134.0154,,,,,,,,,,,,,,,,,,,,,,,
251201_1433_3900.03_Type4.csv,3900.03,Type4,251201,1433,206.7063,207.5949,211.2499,211.2499,201.499,,,,,,,,,,,,,,,,,,,,,,,
251201_1434_3900.03_Type4.csv,3900.03,Type4,251201,1434,204.1456,205.7011,193.2564,207.321,193.2564,,,,,,,,,,,,,,,,,,,,,,,
251201_1552_573-03_Type4.csv,573-03,Type4,251201,1552,0.5243,0.5107,0.4137,1.197,0.0467,,,,,,,,,,,,,,,,,,,,,,,
251202_0951_3906_Type4.csv,3906,Type4,251202,951,137.1884,137.5445,136.5874,139.8401,133.7689,,,,,,,,,,,,,,,,,,,,,,,
