Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/h]	A Supply temperature [°C]	A Return temperature [°C]	A Temp. diff. (return-supply) [K]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held
29	10/7/2025 10:08:11 AM		0.187000006437302	9.26700867712498	NaN	NaN	NaN	∞	54	72	27	108.769996643066	0	2.56125291343778	-18	0	1	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
30	10/7/2025 10:08:21 AM		0.190999999642372	9.46546532213688	NaN	NaN	NaN	∞	55	72	27	108.769996643066	0	2.61603912804276	-18	-1	1	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
31	10/7/2025 10:08:31 AM		0.195999994874001	9.67853162437677	NaN	NaN	NaN	∞	55	72	27	108.769996643066	0	2.68452179152519	-18	-1	1	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
32	10/7/2025 10:08:41 AM		0.188999995589256	9.35191484168172	NaN	NaN	NaN	∞	56	73	27	108.769996643066	0	2.58864602074027	-18	-1	1	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
33	10/7/2025 10:08:51 AM		NaN	NaN	NaN	NaN	NaN	∞	57	73	28	107.279998779297	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0
34	10/7/2025 10:09:01 AM		NaN	NaN	NaN	NaN	NaN	∞	57	74	28	107.279998779297	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0
35	10/7/2025 10:09:11 AM		0.189999997615814	9.41473972052336	NaN	NaN	NaN	∞	57	74	28	107.279998779297	0	2.60234246961772	-19	0	0	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
36	10/7/2025 10:09:21 AM		0.146999999880791	7.29431351646781	NaN	NaN	NaN	∞	58	74	28	107.279998779297	0	2.01339139603078	-18	0	0	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
37	10/7/2025 10:09:31 AM		0.17399999499321	8.61025974154472	NaN	NaN	NaN	∞	59	75	28	107.279998779297	0	2.38319782074541	-17	-1	0	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
38	10/7/2025 10:09:41 AM		0.202000007033348	9.97098041698337	NaN	NaN	NaN	∞	59	75	28	107.279998779297	0	2.76670111343265	-17	-1	0	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
39	10/7/2025 10:09:51 AM		0.149000003933907	7.38424295559525	NaN	NaN	NaN	∞	60	75	28	107.279998779297	0	2.04078450333327	-17	-1	0	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
40	10/7/2025 10:10:01 AM		0.210999995470047	10.4631850495934	NaN	NaN	NaN	∞	60	75	28	107.279998779297	0	2.88996978197247	-18	-1	0	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
41	10/7/2025 10:10:11 AM		0.100000001490116	4.92868395522237	NaN	NaN	NaN	∞	60	76	28	107.279998779297	0	1.36965400306508	-17	-1	0	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
42	10/7/2025 10:10:21 AM		0.163000002503395	8.04293062537909	NaN	NaN	NaN	∞	60	76	28	107.279998779297	0	2.2325360449031	-17	0	0	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
43	10/7/2025 10:10:31 AM		0.177000001072884	8.73865876346827	NaN	NaN	NaN	∞	61	76	28	107.279998779297	0	2.42428758647293	-16	0	0	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
44	10/7/2025 10:10:41 AM		0.150999993085861	7.48699083924294	NaN	NaN	NaN	∞	61	76	28	107.279998779297	0	2.06817740108818	-16	0	0	∞	2	0	0	0	0	1	0	0	0	0	0	0	0
45	10/7/2025 10:10:51 AM		NaN	NaN	NaN	NaN	NaN	∞	61	76	29	105.790000915527	0	NaN	0	∞	∞	∞	0	0	0	0	0	0	0	0	0	0	0	0	0
