# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 04.05.2026
# TIME             : 08:59:51
# Par.Record       :
# Meas. Point No.: : B:3-900-04
# Outer Diameter  :     154.0 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      64.0 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :       143
# Average MEASURE: 119.37378378378378
# Average SSPEED: 647.0384615384615

CHANNEL,MEASURE,SSPEED,AMP,SCNR
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,14.0
B,???,14.0
B,???,14.0
B,???,14.0
B,???,1530.7,36.0
B,???,41.0
B,???,41.0
B,???,41.0
B,???,41.0
B,???,41.0
B,???,41.0
B,???,41.0
B,???,41.0
B,40.04,1545.0,41.0
B,???,1545.0,41.0
B,???,1545.0,41.0
B,???,40.0
B,???,42.0
B,???,42.0
B,???,38.0
B,???,38.0
B,???,1550.6,38.0
B,63.75,1550.6,38.0
B,63.75,1550.6,38.0
B,???,1553.2,42.0
B,???,1553.2,42.0
B,???,42.0
B,???,42.0
B,???,42.0
B,103.14,1554.8,42.0
B,???,1554.8,42.0
B,???,1555.9,43.0
B,???,1555.9,43.0
B,???,42.0
B,???,42.0
B,???,1556.8,42.0
B,???,1556.8,42.0
B,???,39.0
B,???,38.0
B,???,38.0
B,???,40.0
B,???,40.0
B,???,40.0
B,???,13.0
B,109.27,1556.5,36.0
B,110.92,1559.8,42.0
B,121.35,1559.8,42.0
B,???,42.0
B,???,41.0
B,???,41.0
B,121.99,1559.7,41.0
B,???,41.0
B,???,41.0
B,???,41.0
B,???,41.0
B,???,41.0
B,???,1559.5,40.0
B,122.29,1559.5,40.0
B,???,1559.4,36.0
B,???,1559.4,36.0
B,???,43.0
B,???,43.0
B,122.26,1559.3,41.0
B,???,1559.3,41.0
B,???,1559.3,41.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,38.0
B,???,41.0
B,???,41.0
B,???,40.0
B,???,36.0
B,???,1557.5,33.0
B,???,1557.5,33.0
B,???,1555.1,50.0
B,115.02,1554.9,40.0
B,118.45,1554.9,40.0
B,123.46,1554.4,41.0
B,124.36,1554.5,41.0
B,125.23,1554.5,41.0
B,???,41.0
B,???,40.0
B,???,41.0
B,???,41.0
B,???,40.0
B,126.16,1553.9,43.0
B,127.24,1553.9,43.0
B,???,1553.6,44.0
B,???,41.0
B,???,41.0
B,128.48,1553.6,48.0
B,129.51,1553.6,48.0
B,128.95,1553.6,48.0
B,129.0,1553.6,48.0
B,127.08,1553.5,48.0
B,125.45,1553.5,48.0
B,125.33,1553.6,48.0
B,127.06,1553.6,48.0
B,130.49,1553.7,48.0
B,130.73,1553.8,48.0
B,131.11,1553.9,47.0
B,130.58,1553.9,47.0
B,129.79,1554.0,47.0
B,130.36,1554.1,47.0
B,129.29,1554.1,47.0
B,130.91,1554.1,47.0
B,130.09,1554.3,47.0
B,130.49,1554.3,47.0
B,127.5,1554.2,46.0
B,125.95,1554.2,46.0
B,???,1554.2,46.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
B,???,13.0
