# MEASURE 
# Avg: nan
# Median: nan
# Mode: nan
# Max: nan
# Min: nan
# MEASURE 
# Avg: nan
# Median: nan
# Mode: nan
# Max: nan
# Min: nan
# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 18.05.2026
# TIME             : 10:50:00
# Par.Record       : Par.Record    04
# Meas. Point No.: : B:3801
# Outer Diameter  :      88.9 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      13.7 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        63

TIME;TIME;CHANNEL;MEASURE;AMP;SCNR;
10:50:00;10:50:00;B;???;46.0;
10:50:01;10:50:01;B;???;46.0;
10:50:02;10:50:02;B;???;13.0;
10:50:03;10:50:03;B;???;13.0;
10:50:04;10:50:04;B;???;13.0;
10:50:05;10:50:05;B;???;13.0;
10:50:06;10:50:06;B;???;13.0;
10:50:07;10:50:07;B;???;13.0;
10:50:08;10:50:08;B;???;13.0;
10:50:09;10:50:09;B;???;13.0;
10:50:10;10:50:10;B;???;13.0;
10:50:11;10:50:11;B;???;13.0;
10:50:12;10:50:12;B;???;19.0;
10:50:13;10:50:13;B;???;19.0;
10:50:14;10:50:14;B;???;19.0;
10:50:15;10:50:15;B;???;19.0;
10:50:16;10:50:16;B;???;23.0;
10:50:17;10:50:17;B;???;23.0;
10:50:18;10:50:18;B;???;24.0;
10:50:19;10:50:19;B;???;24.0;
10:50:20;10:50:20;B;???;25.0;
10:50:21;10:50:21;B;???;45.0;
10:50:22;10:50:22;B;???;45.0;
10:50:23;10:50:23;B;???;49.0;
10:50:24;10:50:24;B;???;48.0;
10:50:25;10:50:25;B;???;49.0;
10:50:26;10:50:26;B;???;49.0;
10:50:27;10:50:27;B;???;48.0;
10:50:28;10:50:28;B;???;46.0;
10:50:29;10:50:29;B;???;45.0;
10:50:30;10:50:30;B;???;50.0;
10:50:31;10:50:31;B;???;50.0;
10:50:32;10:50:32;B;???;48.0;
10:50:33;10:50:33;B;???;48.0;
10:50:34;10:50:34;B;???;46.0;
10:50:35;10:50:35;B;???;19.0;
10:50:36;10:50:36;B;???;19.0;
10:50:37;10:50:37;B;???;19.0;
10:50:38;10:50:38;B;???;23.0;
10:50:39;10:50:39;B;???;23.0;
10:50:40;10:50:40;B;???;23.0;
10:50:41;10:50:41;B;???;21.0;
10:50:42;10:50:42;B;???;21.0;
10:50:43;10:50:43;B;???;23.0;
10:50:44;10:50:44;B;???;23.0;
10:50:45;10:50:45;B;???;22.0;
10:50:46;10:50:46;B;???;22.0;
10:50:47;10:50:47;B;???;22.0;
10:50:48;10:50:48;B;???;22.0;
10:50:49;10:50:49;B;???;22.0;
10:50:50;10:50:50;B;???;22.0;
10:50:51;10:50:51;B;???;22.0;
10:50:52;10:50:52;B;???;21.0;
10:50:53;10:50:53;B;???;21.0;
10:50:54;10:50:54;B;???;21.0;
10:50:55;10:50:55;B;???;24.0;
10:50:56;10:50:56;B;???;24.0;
10:50:57;10:50:57;B;???;26.0;
10:50:58;10:50:58;B;???;26.0;
10:50:59;10:50:59;B;???;23.0;
10:51:00;10:51:00;B;???;23.0;
10:51:01;10:51:01;B;???;23.0;
10:51:02;10:51:02;B;???;23.0;
