t_stamp,TT201,TT101,TT301,TT401
01/12/2025,65.5,61.40000153,49.29999924,49.5
01/12/2025,65.5,61.29999924,49.29999924,49
01/12/2025,65.5,61.40000153,49.40000153,48.70000076
01/12/2025,65.5,61.40000153,49.5,48.40000153
01/12/2025,65.5,61.40000153,49.5,48.29999924
01/12/2025,65.5,61.40000153,49.5,48.29999924
01/12/2025,65.40000153,61.29999924,49.70000076,48.20000076
01/12/2025,65.5,61.29999924,49.59999847,48
01/12/2025,65.5,61.20000076,49.70000076,47.59999847
01/12/2025,65.40000153,61.20000076,49.79999924,47.40000153
01/12/2025,65.30000305,61.29999924,49.70000076,47.20000076
01/12/2025,65.30000305,61.29999924,49.90000153,47
01/12/2025,65.40000153,61.29999924,49.79999924,46.79999924
01/12/2025,65.40000153,61.29999924,49.90000153,46.59999847
01/12/2025,65.40000153,61.29999924,49.90000153,46.5
01/12/2025,65.30000305,61.40000153,50,46.40000153
01/12/2025,65.30000305,61.29999924,50,46.29999924
01/12/2025,65.30000305,61.29999924,50,46.09999847
01/12/2025,65.30000305,61.29999924,50.09999847,46
01/12/2025,65.19999695,61.29999924,50.09999847,45.90000153
01/12/2025,65.19999695,61.20000076,50.20000076,45.79999924
01/12/2025,65.09999847,61.29999924,50.20000076,45.79999924
01/12/2025,65.09999847,61.29999924,50.20000076,45.70000076
01/12/2025,65.09999847,61.29999924,50.29999924,45.59999847
01/12/2025,65.19999695,61.20000076,50.29999924,45.59999847
01/12/2025,65.19999695,61.20000076,50.40000153,45.5
01/12/2025,65.09999847,61.20000076,50.40000153,45.5
01/12/2025,65.09999847,61.20000076,50.40000153,45.40000153
01/12/2025,65.09999847,61.20000076,50.40000153,45.40000153
01/12/2025,65,61.20000076,50.40000153,45.29999924
01/12/2025,65.09999847,61.20000076,50.40000153,45.20000076
01/12/2025,65,61.09999847,50.40000153,45.20000076
01/12/2025,65,61.09999847,50.40000153,45.20000076
01/12/2025,64.90000153,61.20000076,50.5,45.20000076
01/12/2025,64.80000305,61.09999847,50.5,45.09999847
01/12/2025,64.80000305,61.09999847,50.40000153,45
01/12/2025,64.80000305,61,50.5,45
01/12/2025,64.80000305,61,50.5,44.90000153
01/12/2025,64.69999695,61,50.5,44.79999924
01/12/2025,64.69999695,61,50.5,44.79999924
01/12/2025,64.69999695,60.90000153,50.59999847,44.79999924
01/12/2025,64.59999847,60.90000153,50.59999847,44.79999924
01/12/2025,64.69999695,60.90000153,50.59999847,44.70000076
01/12/2025,64.69999695,60.90000153,50.5,44.70000076
01/12/2025,64.80000305,60.90000153,50.5,44.70000076
01/12/2025,64.69999695,60.79999924,50.59999847,44.5
01/12/2025,64.69999695,60.79999924,50.59999847,44.09999847
01/12/2025,64.69999695,60.70000076,50.59999847,43.29999924
01/12/2025,64.69999695,60.79999924,50.59999847,42.59999847
01/12/2025,64.69999695,60.70000076,50.59999847,41.70000076
01/12/2025,64.80000305,60.70000076,50.59999847,41
01/12/2025,64.80000305,60.59999847,50.59999847,40.29999924
01/12/2025,64.80000305,60.59999847,50.59999847,39.59999847
01/12/2025,64.80000305,60.5,50.40000153,39
01/12/2025,64.80000305,60.5,50.40000153,38.40000153
01/12/2025,64.80000305,60.5,50.40000153,37.90000153
01/12/2025,64.80000305,60.5,50.29999924,37.29999924
01/12/2025,64.80000305,60.5,50.29999924,36.90000153
01/12/2025,64.80000305,60.5,50.29999924,36.40000153
01/12/2025,64.69999695,60.5,50.29999924,36
01/12/2025,64.69999695,60.5,50.29999924,35.59999847
01/12/2025,64.59999847,60.5,50.29999924,35.40000153
01/12/2025,64.80000305,60.5,50.29999924,35
01/12/2025,64.80000305,60.5,50.20000076,34.79999924
01/12/2025,64.69999695,60.5,50.29999924,34.5
01/12/2025,64.69999695,60.5,50.29999924,34.20000076
01/12/2025,64.69999695,60.5,50.29999924,33.90000153
01/12/2025,64.69999695,60.59999847,50.29999924,33.59999847
