# A Mass flow rate [kg/h] 
# Avg: 76032.6316
# Median: 72854.0634
# Mode: 0.0000
# Max: 218864.7400
# Min: -9986.9362

Index,Date,Trigger,A Flow velocity [m/s],A Mass flow rate [kg/h],A Sound speed [m/s],A Transducer temp. (->) [�C],A Transducer temp. (>-) [�C]
1,12/2/2025 11:01:44 AM,0,1.00599992275238,76814.689636231,1584.30505371094,16,17
2,12/2/2025 11:01:45 AM,0,0.95600008964538,72938.850402832,1584.26904296875,16,17
3,12/2/2025 11:01:46 AM,0,0.95700001716614,73025.422668457,1584.26904296875,16,17
4,12/2/2025 11:01:47 AM,0,1.00899994373321,76994.508361817,1584.10095214844,16,17
5,12/2/2025 11:01:48 AM,0,0.94199991226196,71857.823181152,1583.97802734375,16,17
6,12/2/2025 11:01:49 AM,0,0.93599998950958,71397.853088379,1583.9169921875,16,17
7,12/2/2025 11:01:50 AM,0,0.99099993705749,75620.613098145,1583.9169921875,16,17
8,12/2/2025 11:01:51 AM,0,0.97300016880036,74304.46472168,1583.79504394531,16,17
9,12/2/2025 11:01:52 AM,0,0.98099994659424,74870.5078125,1583.78198242188,16,17
10,12/2/2025 11:01:53 AM,0,1.01800000667572,77682.101440429,1583.76000976562,16,17
11,12/2/2025 11:01:54 AM,0,0.97500002384186,74405.841064453,1583.73303222656,16,17
12,12/2/2025 11:01:55 AM,0,0.98500001430512,75197.40600586,1583.73303222656,16,17
13,12/2/2025 11:01:56 AM,0,0.97000002861023,74011.239624024,1583.7060546875,16,17
14,12/2/2025 11:01:57 AM,0,1.01200008392334,77208.782958984,1583.6669921875,16,17
15,12/2/2025 11:01:58 AM,0,1.0349999666214,79002.726745605,1583.6669921875,16,17
16,12/2/2025 11:01:59 AM,0,0.96599984169006,73766.052246094,1583.64794921875,16,17
17,12/2/2025 11:02:00 AM,0,0.95499992370605,72922.947692871,1583.63696289062,16,17
18,12/2/2025 11:02:01 AM,0,0.99299991130829,75733.634948731,1583.61499023438,16,17
19,12/2/2025 11:02:02 AM,0,0.98200011253357,74991.371154785,1583.58203125,16,17
20,12/2/2025 11:02:03 AM,0,0.9799998998642,74852.435302734,1583.58203125,16,17
21,12/2/2025 11:02:04 AM,0,0.98799991607666,75457.658386231,1583.5419921875,16,17
22,12/2/2025 11:02:05 AM,0,0.98699986934662,75299.880981445,1583.53198242188,16,17
23,12/2/2025 11:02:06 AM,0,0.98399996757507,75088.146972656,1583.52099609375,16,17
24,12/2/2025 11:02:07 AM,0,0.97099995613099,74091.604614258,1583.52099609375,16,17
25,12/2/2025 11:02:08 AM,0,0.9650000333786,73633.158874511,1583.50598144531,16,17
26,12/2/2025 11:02:09 AM,0,0.96200001239777,73392.764282227,1583.50500488281,16,17
27,12/2/2025 11:02:10 AM,0,0.95499992370606,72951.539611817,1583.4990234375,16,17
28,12/2/2025 11:02:11 AM,0,0.9559999704361,72970.065307617,1583.5,16,17
29,12/2/2025 11:02:12 AM,0,0.95699989795685,73045.266723632,1583.5,16,17
30,12/2/2025 11:02:13 AM,0,0.95500004291534,72902.101135254,1583.50305175781,16,17
31,12/2/2025 11:02:14 AM,0,0.95099997520447,72592.080688477,1583.49096679688,16,17
32,12/2/2025 11:02:15 AM,0,0.95099997520446,72547.489929199,1583.47802734375,16,17
33,12/2/2025 11:02:16 AM,0,0.9390001296997,71653.381347656,1583.47802734375,16,17
34,12/2/2025 11:02:17 AM,0,0.93500006198883,71415.225219727,1583.46594238281,16,17
35,12/2/2025 11:02:18 AM,0,0.92699992656708,70715.849304199,1583.43701171875,16,17
36,12/2/2025 11:02:19 AM,0,0.92699992656707,70761.882019042,1583.43395996094,16,17
37,12/2/2025 11:02:20 AM,0,0.93499994277954,71343.992614746,1583.43298339844,16,17
38,12/2/2025 11:02:21 AM,0,0.93700015544891,71512.619018555,1583.42700195312,16,17
39,12/2/2025 11:02:22 AM,0,0.93499994277954,71382.431030274,1583.42700195312,16,17
40,12/2/2025 11:02:23 AM,0,0.93799996376038,71583.219909668,1583.42102050781,16,17
41,12/2/2025 11:02:24 AM,0,0.94000005722046,71707.585144043,1583.4169921875,16,17
42,12/2/2025 11:02:25 AM,0,0.93600010871887,71438.571166992,1583.41101074219,16,17
43,12/2/2025 11:02:26 AM,0,0.93500006198883,71324.354553223,1583.41101074219,16,17
44,12/2/2025 11:02:27 AM,0,0.93699991703033,71574.334716797,1583.40905761719,16,17
45,12/2/2025 11:02:28 AM,0,0.93900001049042,71675.614929199,1583.40002441406,16,17
46,12/2/2025 11:02:29 AM,0,0.94000005722046,71682.330322266,1583.40600585938,16,17
47,12/2/2025 11:02:30 AM,0,0.93999993801117,71769.644165039,1583.40600585938,16,17
48,12/2/2025 11:02:31 AM,0,0.93900001049042,71655.812072754,1583.41296386719,16,17
49,12/2/2025 11:02:32 AM,0,0.92999994754791,70932.527160645,1583.40905761719,16,17
