# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 07.05.2026
# TIME             : 10:44:58
# Par.Record       :
# Meas. Point No.: : B:4711
# Outer Diameter  :      76.1 mm
# Wall Thickness  :       3.6 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :       5.9 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :        99
# MEASURE Stats -> Avg: -18.5994 | Median: -18.3300 | Mode: -22.4900 | Max: -14.9000 | Min: -22.4900
# SSPEED Stats -> Avg: 1150.5727 | Median: 1667.1000 | Mode: 31.0000 | Max: 1854.8000 | Min: 12.0000

TIME;TIME;TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
10:46:10;10:46:10;10:46:10;B;???;13.0;
10:46:11;10:46:11;10:46:11;B;???;13.0;
10:46:12;10:46:12;10:46:12;B;???;12.0;
10:46:13;10:46:13;10:46:13;B;???;12.0;
10:46:14;10:46:14;10:46:14;B;???;13.0;
10:46:15;10:46:15;10:46:15;B;???;12.0;
10:46:16;10:46:16;10:46:16;B;???;12.0;
10:46:17;10:46:17;10:46:17;B;-19.42;1790.4;33.0;
10:46:18;10:46:18;10:46:18;B;-19.42;1752.1;38.0;
10:46:19;10:46:19;10:46:19;B;-19.32;1752.1;38.0;
10:46:20;10:46:20;10:46:20;B;???;1735.2;38.0;
10:46:21;10:46:21;10:46:21;B;-19.36;1761.2;38.0;
10:46:22;10:46:22;10:46:22;B;???;1761.2;38.0;
10:46:23;10:46:23;10:46:23;B;-19.46;1735.6;38.0;
10:46:24;10:46:24;10:46:24;B;-19.46;1735.6;38.0;
10:46:25;10:46:25;10:46:25;B;-20.0;1708.6;36.0;
10:46:26;10:46:26;10:46:26;B;-18.45;1682.8;37.0;
10:46:27;10:46:27;10:46:27;B;-17.7;1668.5;38.0;
10:46:28;10:46:28;10:46:28;B;-17.68;1651.6;39.0;
10:46:29;10:46:29;10:46:29;B;-17.57;1651.6;39.0;
10:46:30;10:46:30;10:46:30;B;-17.19;1627.8;39.0;
10:46:31;10:46:31;10:46:31;B;-17.33;1609.9;39.0;
10:46:32;10:46:32;10:46:32;B;-17.31;1586.4;39.0;
10:46:33;10:46:33;10:46:33;B;-17.2;1586.4;39.0;
10:46:34;10:46:34;10:46:34;B;-16.29;1568.4;39.0;
10:46:35;10:46:35;10:46:35;B;-16.29;1568.4;39.0;
10:46:36;10:46:36;10:46:36;B;-15.5;1570.7;40.0;
