# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 06.05.2026
# TIME             : 11:52:21
# Par.Record       :
# Meas. Point No.: : B:000
# Outer Diameter  :      88.9 mm
# Wall Thickness  :       4.0 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :      16.2 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :       544

TIME;TIME;TIME;CHANNEL;MEASURE;AMP;SCNR;TIME
11:53:36;11:53:36;11:53:36;B;???;11.0;11:53:36
11:53:37;11:53:37;11:53:37;B;???;11.0;11:53:37
11:53:38;11:53:38;11:53:38;B;???;11.0;11:53:38
11:53:39;11:53:39;11:53:39;B;???;11.0;11:53:39
11:53:40;11:53:40;11:53:40;B;???;11.0;11:53:40
11:53:41;11:53:41;11:53:41;B;???;11.0;11:53:41
11:53:42;11:53:42;11:53:42;B;???;11.0;11:53:42
11:53:43;11:53:43;11:53:43;B;???;11.0;11:53:43
11:53:44;11:53:44;11:53:44;B;???;11.0;11:53:44
11:53:45;11:53:45;11:53:45;B;???;11.0;11:53:45
11:53:46;11:53:46;11:53:46;B;???;11.0;11:53:46
11:53:47;11:53:47;11:53:47;B;???;11.0;11:53:47
11:53:48;11:53:48;11:53:48;B;???;11.0;11:53:48
11:53:49;11:53:49;11:53:49;B;???;11.0;11:53:49
11:53:50;11:53:50;11:53:50;B;???;11.0;11:53:50
11:53:51;11:53:51;11:53:51;B;???;11.0;11:53:51
11:53:52;11:53:52;11:53:52;B;???;11.0;11:53:52
11:53:53;11:53:53;11:53:53;B;???;11.0;11:53:53
11:53:54;11:53:54;11:53:54;B;???;11.0;11:53:54
11:53:55;11:53:55;11:53:55;B;???;11.0;11:53:55
11:53:56;11:53:56;11:53:56;B;???;11.0;11:53:56
11:53:57;11:53:57;11:53:57;B;???;11.0;11:53:57
11:53:58;11:53:58;11:53:58;B;???;11.0;11:53:58
11:53:59;11:53:59;11:53:59;B;???;11.0;11:53:59
11:54:00;11:54:00;11:54:00;B;???;11.0;11:54:00
11:54:01;11:54:01;11:54:01;B;???;11.0;11:54:01
11:54:02;11:54:02;11:54:02;B;???;11.0;11:54:02
11:54:03;11:54:03;11:54:03;B;???;11.0;11:54:03
11:54:04;11:54:04;11:54:04;B;???;11.0;11:54:04
11:54:05;11:54:05;11:54:05;B;???;12.0;11:54:05
11:54:06;11:54:06;11:54:06;B;???;12.0;11:54:06
11:54:07;11:54:07;11:54:07;B;???;11.0;11:54:07
