Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/s]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
1	10/28/2025 11:08:53 AM		2.57399988174438	0.143145889043808	490.572998046875	144	143	36	95.3600006103516	97	119.053454697132	18	23	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	144.747474747475
2	10/28/2025 11:09:03 AM		2.59100008010864	0.144115760922432	489.841003417969	144	143	36	95.3600006103516	98	119.839744269848	18	23	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	144.747474747475
3	10/28/2025 11:09:13 AM		2.60400009155273	0.144847050309181	489.660003662109	144	143	35	96.8499984741211	96	120.441028475761	16	23	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	144.747474747475
4	10/28/2025 11:09:23 AM		2.63000011444092	0.146278619766235	490.109008789062	144	143	35	96.8499984741211	96	121.643583476543	17	22	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	144.747474747475
5	10/28/2025 11:09:33 AM		2.66499996185303	0.148213446140289	489.93798828125	143	143	36	95.3600006103516	96	123.262417316437	15	21	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144.242424242424
6	10/28/2025 11:09:43 AM		2.62899994850159	0.146254479885101	490.638000488281	143	143	36	95.3600006103516	96	121.597328782082	19	21	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144.242424242424
7	10/28/2025 11:09:53 AM		2.60999989509583	0.145169824361801	490.559997558594	143	143	36	95.3600006103516	97	120.718543231487	20	21	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144.242424242424
8	10/28/2025 11:10:03 AM		2.62899994850159	0.146243676543236	490.898986816406	143	143	36	95.3600006103516	98	121.597328782082	23	22	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144.242424242424
9	10/28/2025 11:10:13 AM		2.59400010108948	0.144306764006615	491.023010253906	143	143	35	96.8499984741211	97	119.978508353233	18	21	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144.242424242424
10	10/28/2025 11:10:23 AM		2.50399994850159	0.139284566044807	491.294006347656	143	142	35	96.8499984741211	98	115.815800428391	16	21	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143.737373737374
11	10/28/2025 11:10:33 AM		2.45600008964539	0.136587411165237	491.509002685547	143	142	35	96.8499984741211	97	113.595682382584	17	21	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143.737373737374
12	10/28/2025 11:10:43 AM		2.44199991226196	0.135824859142303	492.019989013672	143	142	35	96.8499984741211	98	112.948156893253	18	21	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	143.737373737374
13	10/28/2025 11:10:53 AM		2.43199992179871	0.13525179028511	491.852996826172	142	142	35	96.8499984741211	98	112.485630065203	19	21	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143.232323232323
14	10/28/2025 11:11:03 AM		2.42600011825562	0.134957998991013	491.704010009766	142	142	35	96.8499984741211	98	112.208115309477	20	21	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143.232323232323
15	10/28/2025 11:11:13 AM		2.4210000038147	0.134658962488174	491.907012939453	142	142	35	96.8499984741211	98	111.976855248213	19	21	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	143.232323232323
16	10/28/2025 11:11:23 AM		2.45000004768372	0.136273682117462	491.841003417969	142	142	35	96.8499984741211	97	113.318167626858	19	20	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	143.232323232323
17	10/28/2025 11:11:33 AM		2.42700004577637	0.135016590356827	491.848999023438	141	141	35	96.8499984741211	97	112.254370003939	17	20	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	142.222222222222
18	10/28/2025 11:11:43 AM		2.42700004577637	0.134989112615585	491.64599609375	141	141	35	96.8499984741211	98	112.254370003939	17	21	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	142.222222222222
19	10/28/2025 11:11:53 AM		2.43300008773804	0.135338082909584	491.110992431641	141	141	35	96.8499984741211	97	112.531878054142	20	21	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	142.222222222222
20	10/28/2025 11:12:03 AM		2.43700003623962	0.135537177324295	491.225006103516	141	141	35	96.8499984741211	98	112.716896831989	19	21	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142.222222222222
21	10/28/2025 11:12:13 AM		2.42700004577637	0.135019868612289	490.773010253906	141	141	35	96.8499984741211	96	112.254370003939	20	21	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142.222222222222
22	10/28/2025 11:12:23 AM		2.42899990081787	0.135112792253494	490.917999267578	141	141	35	96.8499984741211	97	112.34687268734	20	20	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142.222222222222
23	10/28/2025 11:12:33 AM		2.43899989128113	0.135653242468834	490.734008789062	140	141	35	96.8499984741211	98	112.809392809868	21	21	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	141.717171717172
24	10/28/2025 11:12:43 AM		2.43799996376038	0.135610207915306	490.549011230469	140	140	36	95.3600006103516	97	112.763138115406	21	20	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	141.212121212121
25	10/28/2025 11:12:53 AM		2.41499996185303	0.134317919611931	489.971984863281	140	140	35	96.8499984741211	94	111.699340492487	22	21	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141.212121212121
26	10/28/2025 11:13:03 AM		2.45099997520447	0.136342912912369	489.777008056641	140	140	35	96.8499984741211	94	113.36442232132	20	21	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141.212121212121
27	10/28/2025 11:13:13 AM		2.42899990081787	0.135079115629196	489.928009033203	139	140	35	96.8499984741211	98	112.34687268734	20	22	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140.707070707071
28	10/28/2025 11:13:23 AM		2.44099998474121	0.13575379550457	490.028991699219	139	140	35	96.8499984741211	96	112.901902198792	21	21	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	140.707070707071
29	10/28/2025 11:13:33 AM		2.41899991035461	0.1345284730196	489.670989990234	139	139	35	96.8499984741211	94	111.884345859289	20	20	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	140.20202020202
30	10/28/2025 11:13:43 AM		2.40100002288818	0.133548840880394	489.998992919922	139	139	35	96.8499984741211	95	111.051808297634	21	20	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	140.20202020202
31	10/28/2025 11:13:53 AM		2.3989999294281	0.13344219326973	489.511993408203	139	139	35	96.8499984741211	97	110.959305614233	17	19	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	140.20202020202
32	10/28/2025 11:14:03 AM		2.45099997520447	0.136314705014229	489.502014160156	138	139	34	98.3399963378906	97	113.36442232132	17	19	12	7	0	0	0	0	0	0	0	0	0	0	0	0	0	139.69696969697
