# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 07.05.2026
# TIME             : 09:28:05
# Par.Record       :
# Meas. Point No.: : B:47.08
# Outer Diameter  :     323.0 mm
# Wall Thickness  :       5.0 mm
# Roughness       :       0.1 mm
# Pipe Material   : Carbon Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         2 NUM
# Transd. Distance :     197.9 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :       100
# MEASURE Stats -> Avg: -660.1445 | Median: -659.2000 | Mode: -681.4400 | Max: -637.4100 | Min: -686.1700
# SSPEED Stats -> Avg: 1448.2490 | Median: 1508.1500 | Mode: 1506.0000 | Max: 1510.7000 | Min: 13.0000

TIME;TIME;TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
09:29:22;09:29:22;09:29:22;B;-657.48;1508.3;38.0;
09:29:23;09:29:23;09:29:23;B;-659.93;1508.3;38.0;
09:29:24;09:29:24;09:29:24;B;-658.28;1507.5;38.0;
09:29:25;09:29:25;09:29:25;B;-657.77;1506.8;36.0;
09:29:26;09:29:26;09:29:26;B;-656.73;1506.8;36.0;
09:29:27;09:29:27;09:29:27;B;-661.54;1508.1;35.0;
09:29:28;09:29:28;09:29:28;B;-664.19;1509.0;35.0;
09:29:29;09:29:29;09:29:29;B;???;1509.0;35.0;
09:29:30;09:29:30;09:29:30;B;???;1509.0;35.0;
09:29:31;09:29:31;09:29:31;B;-662.92;1508.6;36.0;
09:29:32;09:29:32;09:29:32;B;-662.92;1508.6;36.0;
09:29:33;09:29:33;09:29:33;B;-662.66;1508.2;36.0;
09:29:34;09:29:34;09:29:34;B;-662.1;1508.2;36.0;
09:29:35;09:29:35;09:29:35;B;-661.65;1507.9;33.0;
09:29:36;09:29:36;09:29:36;B;-659.78;1507.9;33.0;
09:29:37;09:29:37;09:29:37;B;-659.78;1507.9;33.0;
09:29:38;09:29:38;09:29:38;B;-657.03;1508.6;29.0;
09:29:39;09:29:39;09:29:39;B;-657.1;1508.6;29.0;
09:29:40;09:29:40;09:29:40;B;-656.71;1508.4;30.0;
09:29:41;09:29:41;09:29:41;B;???;1508.4;30.0;
09:29:42;09:29:42;09:29:42;B;???;1508.4;30.0;
09:29:43;09:29:43;09:29:43;B;???;1508.4;30.0;
09:29:44;09:29:44;09:29:44;B;???;1508.4;30.0;
