# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 07.05.2026
# TIME             : 08:42:06
# Par.Record       :
# Meas. Point No.: : B:4605
# Outer Diameter  :      22.0 mm
# Wall Thickness  :       1.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : CDM1N5213047
# Sound Path       :         1 NUM
# Transd. Distance :     -46.4 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :       108
# MEASURE Stats -> Avg: -8.2908 | Median: -4.3400 | Mode: -11.2300 | Max: 0.5100 | Min: -44.0900
# SSPEED Stats -> Avg: 1199.3130 | Median: 1782.9000 | Mode: 19.0000 | Max: 2838.3000 | Min: 13.0000

TIME;TIME;TIME;CHANNEL;MEASURE;SSPEED;AMP;SCNR;
08:42:06;08:42:06;08:42:06;B;???;19.0;
08:42:07;08:42:07;08:42:07;B;???;19.0;
08:42:08;08:42:08;08:42:08;B;???;20.0;
08:42:09;08:42:09;08:42:09;B;???;21.0;
08:42:10;08:42:10;08:42:10;B;0.51;1947.0;36.0;
08:42:11;08:42:11;08:42:11;B;-1.75;2063.7;36.0;
08:42:12;08:42:12;08:42:12;B;-2.91;2086.5;34.0;
08:42:13;08:42:13;08:42:13;B;-2.78;2086.5;34.0;
08:42:14;08:42:14;08:42:14;B;-1.67;2129.2;30.0;
08:42:15;08:42:15;08:42:15;B;-13.26;2129.2;30.0;
08:42:16;08:42:16;08:42:16;B;-39.32;2129.5;31.0;
08:42:17;08:42:17;08:42:17;B;???;32.0;
08:42:18;08:42:18;08:42:18;B;-16.28;2147.6;34.0;
08:42:19;08:42:19;08:42:19;B;???;2147.6;34.0;
08:42:20;08:42:20;08:42:20;B;???;23.0;
08:42:21;08:42:21;08:42:21;B;???;32.0;
08:42:22;08:42:22;08:42:22;B;???;30.0;
08:42:23;08:42:23;08:42:23;B;-44.09;2141.9;38.0;
08:42:24;08:42:24;08:42:24;B;-11.25;2131.3;42.0;
08:42:25;08:42:25;08:42:25;B;-0.79;2131.3;42.0;
08:42:26;08:42:26;08:42:26;B;-0.93;2119.9;42.0;
08:42:27;08:42:27;08:42:27;B;-0.8;2119.9;42.0;
08:42:28;08:42:28;08:42:28;B;-0.73;2105.8;41.0;
