Index	Date	Trigger	A Flow velocity [m/s]	A Mass flow rate [kg/h]	A Mass (+) [kg]	A Mass (-) [kg]	A Sound speed [m/s]	A Transducer temp. (->) [°C]	A Transducer temp. (>-) [°C]	A Amplitude [%]	A Gain [dB]	A Quality [%]	A Volumetric flow rate [m³/h]	A SCNR [dB]	A SNR [dB]	A VariAmp [%]	A VariTime [%]	A Diag.: error bits	A Event trigger R1	A Event trigger R2	A Event trigger R3	A Event trigger R4	A NoiseTrek activated	A Gain  > limit	A Flow vel. > limit	A Flow vel. < cut-off flow	A Pig detected	A FastFood activated	A Transducer temp. violation	A Last value is held	A Fluid temp. (Calculated) [°C]
1	11/22/2025 12:31:37 AM		NaN	NaN	∞	∞	∞	145	146	31	102.809997558594	0	NaN	11	8	13	53	2	0	0	0	0	0	0	0	0	0	0	0	0	146.767676767677
2	11/22/2025 12:31:47 AM		NaN	NaN	∞	∞	∞	145	146	31	102.809997558594	0	NaN	11	7	13	73	2	0	0	0	0	0	0	0	0	0	0	0	0	146.767676767677
3	11/22/2025 12:31:57 AM		NaN	NaN	∞	∞	∞	145	146	30	104.300003051758	0	NaN	11	6	12	101	2	0	0	0	0	0	0	0	0	0	0	0	0	146.767676767677
4	11/22/2025 12:32:07 AM		NaN	NaN	∞	∞	∞	145	146	30	104.300003051758	0	NaN	11	6	11	112	2	0	0	0	0	0	0	0	0	0	0	0	0	146.767676767677
5	11/22/2025 12:32:17 AM		NaN	NaN	∞	∞	∞	145	146	30	104.300003051758	0	NaN	11	6	12	127	2	0	0	0	0	0	0	0	0	0	0	0	0	146.767676767677
6	11/22/2025 12:32:27 AM		NaN	NaN	∞	∞	∞	145	146	31	102.809997558594	0	NaN	11	5	12	134	2	0	0	0	0	0	0	0	0	0	0	0	0	146.767676767677
7	11/22/2025 12:32:37 AM		NaN	NaN	∞	∞	∞	145	146	31	102.809997558594	0	NaN	11	6	11	115	2	0	0	0	0	0	0	0	0	0	0	0	0	146.767676767677
8	11/22/2025 12:32:47 AM		NaN	NaN	∞	∞	∞	145	146	31	102.809997558594	0	NaN	11	7	11	82	2	0	0	0	0	0	0	0	0	0	0	0	0	146.767676767677
9	11/22/2025 12:32:57 AM		NaN	NaN	∞	∞	∞	145	146	31	102.809997558594	0	NaN	11	6	12	91	2	0	0	0	0	0	0	0	0	0	0	0	0	146.767676767677
10	11/22/2025 12:33:07 AM		NaN	NaN	∞	∞	∞	145	146	31	102.809997558594	0	NaN	11	8	12	76	2	0	0	0	0	0	0	0	0	0	0	0	0	146.767676767677
11	11/22/2025 12:33:17 AM		NaN	NaN	∞	∞	∞	145	146	31	102.809997558594	0	NaN	11	7	13	86	2	0	0	0	0	0	0	0	0	0	0	0	0	146.767676767677
12	11/22/2025 12:33:27 AM		NaN	NaN	∞	∞	∞	145	146	31	102.809997558594	0	NaN	11	8	14	103	2	0	0	0	0	0	0	0	0	0	0	0	0	146.767676767677
13	11/22/2025 12:33:37 AM		NaN	NaN	∞	∞	∞	145	146	31	102.809997558594	0	NaN	11	7	12	87	2	0	0	0	0	0	0	0	0	0	0	0	0	146.767676767677
14	11/22/2025 12:33:47 AM		NaN	NaN	∞	∞	∞	145	146	31	102.809997558594	0	NaN	11	7	13	85	2	0	0	0	0	0	0	0	0	0	0	0	0	146.767676767677
