# \DEVICE          : G 608ST-60802901
# \MODE            : STORED
# DATE             : 05.05.2026
# TIME             : 08:27:12
# Par.Record       :
# Meas. Point No.: : B:1-170
# Outer Diameter  :     114.0 mm
# Wall Thickness  :       2.0 mm
# Roughness       :       0.0 mm
# Pipe Material   : Stainless Steel
# Lining           : WITHOUT LINING
# Medium           : Water
# Medium Temperat.:      20.0 C
# Transducer Type  : Standard
# Sound Path       :         2 NUM
# Transd. Distance :      33.3 mm
# Damping          :        10 s
# Full-Scale Val.  :           m3/h
# Current Loop     :           mA
# Storage Rate     :  00:00:01 SAMPLES
# Physic. Quant.   : Volume flow
# Unit Of Measure  : [m3/h]/[m3]
# Numb.Of Meas.Val :       312

TIME,TIME,TIME,CHANNEL,MEASURE,AMP,SCNR,TIME
08:28:27,08:28:27,08:28:27,B,???,13.0,08:28:27
08:28:28,08:28:28,08:28:28,B,???,13.0,08:28:28
08:28:29,08:28:29,08:28:29,B,???,13.0,08:28:29
08:28:30,08:28:30,08:28:30,B,???,13.0,08:28:30
08:28:31,08:28:31,08:28:31,B,???,13.0,08:28:31
08:28:32,08:28:32,08:28:32,B,???,13.0,08:28:32
08:28:33,08:28:33,08:28:33,B,???,13.0,08:28:33
08:28:34,08:28:34,08:28:34,B,???,13.0,08:28:34
08:28:35,08:28:35,08:28:35,B,???,13.0,08:28:35
08:28:36,08:28:36,08:28:36,B,???,13.0,08:28:36
08:28:37,08:28:37,08:28:37,B,???,13.0,08:28:37
08:28:38,08:28:38,08:28:38,B,???,13.0,08:28:38
08:28:39,08:28:39,08:28:39,B,???,13.0,08:28:39
08:28:40,08:28:40,08:28:40,B,???,13.0,08:28:40
08:28:41,08:28:41,08:28:41,B,???,13.0,08:28:41
08:28:42,08:28:42,08:28:42,B,???,13.0,08:28:42
08:28:43,08:28:43,08:28:43,B,???,13.0,08:28:43
08:28:44,08:28:44,08:28:44,B,???,13.0,08:28:44
08:28:45,08:28:45,08:28:45,B,???,13.0,08:28:45
08:28:46,08:28:46,08:28:46,B,???,13.0,08:28:46
08:28:47,08:28:47,08:28:47,B,???,13.0,08:28:47
08:28:48,08:28:48,08:28:48,B,???,13.0,08:28:48
08:28:49,08:28:49,08:28:49,B,???,13.0,08:28:49
08:28:50,08:28:50,08:28:50,B,???,13.0,08:28:50
08:28:51,08:28:51,08:28:51,B,???,13.0,08:28:51
08:28:52,08:28:52,08:28:52,B,???,13.0,08:28:52
08:28:53,08:28:53,08:28:53,B,???,13.0,08:28:53
08:28:54,08:28:54,08:28:54,B,???,13.0,08:28:54
08:28:55,08:28:55,08:28:55,B,???,13.0,08:28:55
08:28:56,08:28:56,08:28:56,B,???,13.0,08:28:56
08:28:57,08:28:57,08:28:57,B,???,13.0,08:28:57
08:28:58,08:28:58,08:28:58,B,???,13.0,08:28:58
08:28:59,08:28:59,08:28:59,B,???,13.0,08:28:59
08:29:00,08:29:00,08:29:00,B,???,13.0,08:29:00
08:29:01,08:29:01,08:29:01,B,???,13.0,08:29:01
08:29:02,08:29:02,08:29:02,B,???,13.0,08:29:02
08:29:03,08:29:03,08:29:03,B,???,13.0,08:29:03
08:29:04,08:29:04,08:29:04,B,???,13.0,08:29:04
08:29:05,08:29:05,08:29:05,B,???,13.0,08:29:05
08:29:06,08:29:06,08:29:06,B,???,13.0,08:29:06
08:29:07,08:29:07,08:29:07,B,???,13.0,08:29:07
08:29:08,08:29:08,08:29:08,B,???,13.0,08:29:08
08:29:09,08:29:09,08:29:09,B,???,13.0,08:29:09
08:29:10,08:29:10,08:29:10,B,???,13.0,08:29:10
08:29:11,08:29:11,08:29:11,B,???,13.0,08:29:11
08:29:12,08:29:12,08:29:12,B,???,13.0,08:29:12
08:29:13,08:29:13,08:29:13,B,???,13.0,08:29:13
08:29:14,08:29:14,08:29:14,B,???,13.0,08:29:14
08:29:15,08:29:15,08:29:15,B,???,13.0,08:29:15
08:29:16,08:29:16,08:29:16,B,???,13.0,08:29:16
08:29:17,08:29:17,08:29:17,B,???,13.0,08:29:17
08:29:18,08:29:18,08:29:18,B,???,13.0,08:29:18
08:29:19,08:29:19,08:29:19,B,???,13.0,08:29:19
08:29:20,08:29:20,08:29:20,B,???,13.0,08:29:20
08:29:21,08:29:21,08:29:21,B,???,13.0,08:29:21
08:29:22,08:29:22,08:29:22,B,???,13.0,08:29:22
08:29:23,08:29:23,08:29:23,B,???,13.0,08:29:23
08:29:24,08:29:24,08:29:24,B,???,13.0,08:29:24
08:29:25,08:29:25,08:29:25,B,???,13.0,08:29:25
08:29:26,08:29:26,08:29:26,B,???,13.0,08:29:26
08:29:27,08:29:27,08:29:27,B,???,13.0,08:29:27
08:29:28,08:29:28,08:29:28,B,???,13.0,08:29:28
08:29:29,08:29:29,08:29:29,B,???,13.0,08:29:29
08:29:30,08:29:30,08:29:30,B,???,13.0,08:29:30
08:29:31,08:29:31,08:29:31,B,???,13.0,08:29:31
08:29:32,08:29:32,08:29:32,B,???,13.0,08:29:32
08:29:33,08:29:33,08:29:33,B,???,13.0,08:29:33
08:29:34,08:29:34,08:29:34,B,???,13.0,08:29:34
08:29:35,08:29:35,08:29:35,B,???,13.0,08:29:35
08:29:36,08:29:36,08:29:36,B,???,13.0,08:29:36
08:29:37,08:29:37,08:29:37,B,???,13.0,08:29:37
08:29:38,08:29:38,08:29:38,B,???,13.0,08:29:38
08:29:39,08:29:39,08:29:39,B,???,13.0,08:29:39
08:29:40,08:29:40,08:29:40,B,???,13.0,08:29:40
08:29:41,08:29:41,08:29:41,B,???,13.0,08:29:41
08:29:42,08:29:42,08:29:42,B,???,13.0,08:29:42
08:29:43,08:29:43,08:29:43,B,???,13.0,08:29:43
08:29:44,08:29:44,08:29:44,B,???,13.0,08:29:44
08:29:45,08:29:45,08:29:45,B,???,13.0,08:29:45
08:29:46,08:29:46,08:29:46,B,???,13.0,08:29:46
08:29:47,08:29:47,08:29:47,B,???,13.0,08:29:47
08:29:48,08:29:48,08:29:48,B,???,13.0,08:29:48
08:29:49,08:29:49,08:29:49,B,???,13.0,08:29:49
08:29:50,08:29:50,08:29:50,B,???,13.0,08:29:50
08:29:51,08:29:51,08:29:51,B,???,13.0,08:29:51
08:29:52,08:29:52,08:29:52,B,???,13.0,08:29:52
08:29:53,08:29:53,08:29:53,B,???,13.0,08:29:53
08:29:54,08:29:54,08:29:54,B,???,13.0,08:29:54
08:29:55,08:29:55,08:29:55,B,???,13.0,08:29:55
08:29:56,08:29:56,08:29:56,B,???,13.0,08:29:56
08:29:57,08:29:57,08:29:57,B,???,13.0,08:29:57
08:29:58,08:29:58,08:29:58,B,???,13.0,08:29:58
08:29:59,08:29:59,08:29:59,B,???,13.0,08:29:59
08:30:00,08:30:00,08:30:00,B,???,13.0,08:30:00
08:30:01,08:30:01,08:30:01,B,???,13.0,08:30:01
08:30:02,08:30:02,08:30:02,B,???,13.0,08:30:02
08:30:03,08:30:03,08:30:03,B,???,13.0,08:30:03
08:30:04,08:30:04,08:30:04,B,???,13.0,08:30:04
08:30:05,08:30:05,08:30:05,B,???,13.0,08:30:05
08:30:06,08:30:06,08:30:06,B,???,13.0,08:30:06
08:30:07,08:30:07,08:30:07,B,???,13.0,08:30:07
08:30:08,08:30:08,08:30:08,B,???,13.0,08:30:08
08:30:09,08:30:09,08:30:09,B,???,13.0,08:30:09
08:30:10,08:30:10,08:30:10,B,???,13.0,08:30:10
08:30:11,08:30:11,08:30:11,B,???,13.0,08:30:11
08:30:12,08:30:12,08:30:12,B,???,13.0,08:30:12
08:30:13,08:30:13,08:30:13,B,???,13.0,08:30:13
08:30:14,08:30:14,08:30:14,B,???,13.0,08:30:14
08:30:15,08:30:15,08:30:15,B,???,13.0,08:30:15
08:30:16,08:30:16,08:30:16,B,???,13.0,08:30:16
08:30:17,08:30:17,08:30:17,B,???,13.0,08:30:17
08:30:18,08:30:18,08:30:18,B,???,13.0,08:30:18
08:30:19,08:30:19,08:30:19,B,???,13.0,08:30:19
08:30:20,08:30:20,08:30:20,B,???,13.0,08:30:20
08:30:21,08:30:21,08:30:21,B,???,13.0,08:30:21
08:30:22,08:30:22,08:30:22,B,???,13.0,08:30:22
08:30:23,08:30:23,08:30:23,B,???,13.0,08:30:23
08:30:24,08:30:24,08:30:24,B,???,13.0,08:30:24
08:30:25,08:30:25,08:30:25,B,???,13.0,08:30:25
08:30:26,08:30:26,08:30:26,B,???,13.0,08:30:26
08:30:27,08:30:27,08:30:27,B,???,13.0,08:30:27
08:30:28,08:30:28,08:30:28,B,???,13.0,08:30:28
08:30:29,08:30:29,08:30:29,B,???,13.0,08:30:29
08:30:30,08:30:30,08:30:30,B,???,13.0,08:30:30
08:30:31,08:30:31,08:30:31,B,???,13.0,08:30:31
08:30:32,08:30:32,08:30:32,B,???,13.0,08:30:32
08:30:33,08:30:33,08:30:33,B,???,13.0,08:30:33
08:30:34,08:30:34,08:30:34,B,???,13.0,08:30:34
08:30:35,08:30:35,08:30:35,B,???,13.0,08:30:35
08:30:36,08:30:36,08:30:36,B,???,13.0,08:30:36
08:30:37,08:30:37,08:30:37,B,???,13.0,08:30:37
08:30:38,08:30:38,08:30:38,B,???,13.0,08:30:38
08:30:39,08:30:39,08:30:39,B,???,13.0,08:30:39
08:30:40,08:30:40,08:30:40,B,???,13.0,08:30:40
08:30:41,08:30:41,08:30:41,B,???,13.0,08:30:41
08:30:42,08:30:42,08:30:42,B,???,13.0,08:30:42
08:30:43,08:30:43,08:30:43,B,???,13.0,08:30:43
08:30:44,08:30:44,08:30:44,B,???,13.0,08:30:44
08:30:45,08:30:45,08:30:45,B,???,13.0,08:30:45
08:30:46,08:30:46,08:30:46,B,???,13.0,08:30:46
08:30:47,08:30:47,08:30:47,B,???,13.0,08:30:47
08:30:48,08:30:48,08:30:48,B,???,13.0,08:30:48
