POINTNAME;Occurrences
8105;15
3906;15
3900.03;11
8106;8
3100.03;8
8109;7
8108;7
8100;6
8107;6
8104;6
3800.01;6
3100.01;5
31006;4
373-02;3
3150;3
3900.02;3
00.01;2
3900.01;2
3102;2
3806;1
3801;1
3800;1
