source,target,color,DN,OD mm,WT mm,area m2,velocitat ms,cabal m3s,cabal m3h,cabal kgh
ext-sud,LIQ-LIQ,"rgba(255,255,0,0.4)",65.0,76.1,3.0,0.0038594544289166943,1,0.0038594544289166943,13.8940359441001,13894.0359441001
ext-sud,SS-800,"rgba(255,255,0,0.4)",100.0,114.0,3.0,0.009160884177867836,1,0.009160884177867836,32.97918304032421,32979.183040324206
impulsio,BV-105,"rgba(0,255,0, 0.4)",200.0,222.0,3.0,0.036643536711471345,1,0.036643536711471345,131.91673216129684,131916.73216129682
impulsio,BV-107,"rgba(0,255,0, 0.4)",200.0,222.0,3.0,0.036643536711471345,1,0.036643536711471345,131.91673216129684,131916.73216129682
impulsio,BV-106,"rgba(0,255,0, 0.4)",200.0,222.0,3.0,0.036643536711471345,1,0.036643536711471345,131.91673216129684,131916.73216129682
impulsio,BV-108,"rgba(0,255,0, 0.4)",200.0,222.0,3.0,0.036643536711471345,1,0.036643536711471345,131.91673216129684,131916.73216129682
impulsio,BV-104,"rgba(0,255,0, 0.4)",200.0,222.0,3.0,0.036643536711471345,1,0.036643536711471345,131.91673216129684,131916.73216129682
impulsio,BV-109,"rgba(0,255,0, 0.4)",204.0,204.0,3.0,0.030790749597833563,1,0.030790749597833563,110.84669855220082,110846.69855220082
LIQ-LIQ,LI-671,"rgba(0,255,0, 0.4)",50.0,60.3,3.0,0.0023157386307957424,1,0.0023157386307957424,8.336659070864673,8336.659070864673
LIQ-LIQ,LI-651,"rgba(255,255,0, 0.4)",43.0,43.0,3.0,0.0010752100856911066,1,0.0010752100856911066,3.8707563084879837,3870.756308487984
LIQ-LIQ,LI-660,"rgba(255,255,0, 0.4)",40.0,48.3,3.0,0.0014053050797854202,1,0.0014053050797854202,5.0590982872275125,5059.098287227513
LIQ-LIQ,SB-670,"rgba(255,255,0, 0.4)",100.0,114.0,3.0,0.009160884177867836,1,0.009160884177867836,32.97918304032421,32979.183040324206
P-600,PI-601,"rgba(0,255,0, 0.4)",50.0,60.3,3.0,0.0023157386307957424,1,0.0023157386307957424,8.336659070864673,8336.659070864673
P-600,PR-601,"rgba(255,255,0, 0.4)",50.0,60.3,3.0,0.0023157386307957424,1,0.0023157386307957424,8.336659070864673,8336.659070864673
PEC,E-100,"rgba(0,255,0, 0.4)",125.0,141.0,3.0,0.014313881527918496,1,0.014313881527918496,51.529973500506586,51529.97350050659
PEC,E-150,"rgba(0,255,0, 0.4)",200.0,220.0,3.0,0.03596809429094954,1,0.03596809429094954,129.48513944741836,129485.13944741836
SIL-PEL,PK-201,"rgba(0,255,0, 0.4)",65.0,76.1,3.0,0.0038594544289166943,1,0.0038594544289166943,13.8940359441001,13894.0359441001
SIL-PEL,PK-202A,"rgba(0,255,0, 0.4)",65.0,76.1,3.0,0.0038594544289166943,1,0.0038594544289166943,13.8940359441001,13894.0359441001
SIL-PEL,SI-5003,"rgba(0,255,0, 0.4)",32.0,42.2,3.0,0.0010292171692425523,1,0.0010292171692425523,3.705181809273188,3705.1818092731883
SIL-PEL,PI-303,"rgba(255,255,0, 0.4)",50.0,60.3,3.0,0.0023157386307957424,1,0.0023157386307957424,8.336659070864673,8336.659070864673
SIL-PEL,PI-304,"rgba(255,255,0, 0.4)",50.0,60.3,3.0,0.0023157386307957424,1,0.0023157386307957424,8.336659070864673,8336.659070864673
SS-700B,EI-701,"rgba(255,255,0, 0.4)",80.0,88.9,3.0,0.005397578192114258,1,0.005397578192114258,19.43128149161133,19431.28149161133
SS-800,SI-801,"rgba(255,255,0, 0.4)",80.0,88.9,3.0,0.005397578192114258,1,0.005397578192114258,19.43128149161133,19431.28149161133
SS-800,SI-802,"rgba(255,255,0, 0.4)",50.0,60.3,3.0,0.0023157386307957424,1,0.0023157386307957424,8.336659070864673,8336.659070864673
V-700/V-800,VI-710,"rgba(0,255,0, 0.4)",73.0,73.0,3.0,0.003525652355491146,1,0.003525652355491146,12.692348479768125,12692.348479768125
V-700/V-800,VI-810,"rgba(0,255,0, 0.4)",65.0,76.1,3.0,0.0038594544289166943,1,0.0038594544289166943,13.8940359441001,13894.0359441001
V-700/V-800,SR-710,"rgba(255,255,0, 0.4)",50.0,60.3,3.0,0.0023157386307957424,1,0.0023157386307957424,8.336659070864673,8336.659070864673
V-700/V-800,SR-810,"rgba(255,255,0, 0.4)",50.0,60.3,3.0,0.0023157386307957424,1,0.0023157386307957424,8.336659070864673,8336.659070864673
